FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 09/08/2022 21:28:27
PROJECTILE       : Co
TARGET           : Ba
TARGET AT. MASS  : 1.373300E+02
TARGET DENSITY   : 3.590000E+00 g/cm^3
TABULATED OUTPUT : STOPPING FORCE VERSUS ENERGY
DATA TYPE        : SPLINE INTERPOLATED
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : eV/nm


      E/n             S(E/n)

  1.000000E-03     2.092569E+02
  1.013925E-03     2.106967E+02
  1.028045E-03     2.121557E+02
  1.042361E-03     2.136329E+02
  1.056876E-03     2.151275E+02
  1.071593E-03     2.166386E+02
  1.086516E-03     2.181650E+02
  1.101646E-03     2.197057E+02
  1.116987E-03     2.212593E+02
  1.132541E-03     2.228245E+02
  1.148312E-03     2.243998E+02
  1.164303E-03     2.259838E+02
  1.180517E-03     2.275764E+02
  1.196956E-03     2.291779E+02
  1.213624E-03     2.307888E+02
  1.230524E-03     2.324094E+02
  1.247660E-03     2.340402E+02
  1.265034E-03     2.356817E+02
  1.282650E-03     2.373344E+02
  1.300511E-03     2.389990E+02
  1.318621E-03     2.406760E+02
  1.336984E-03     2.423662E+02
  1.355602E-03     2.440697E+02
  1.374479E-03     2.457865E+02
  1.393619E-03     2.475165E+02
  1.413026E-03     2.492597E+02
  1.432703E-03     2.510161E+02
  1.452654E-03     2.527857E+02
  1.472883E-03     2.545683E+02
  1.493393E-03     2.563640E+02
  1.514189E-03     2.581727E+02
  1.535275E-03     2.599944E+02
  1.556654E-03     2.618291E+02
  1.578331E-03     2.636769E+02
  1.600310E-03     2.655380E+02
  1.622595E-03     2.674125E+02
  1.645191E-03     2.693005E+02
  1.668101E-03     2.712022E+02
  1.691330E-03     2.731179E+02
  1.714882E-03     2.750476E+02
  1.738762E-03     2.769917E+02
  1.762975E-03     2.789502E+02
  1.787526E-03     2.809235E+02
  1.812418E-03     2.829115E+02
  1.837656E-03     2.849143E+02
  1.863246E-03     2.869320E+02
  1.889193E-03     2.889646E+02
  1.915501E-03     2.910122E+02
  1.942175E-03     2.930750E+02
  1.969220E-03     2.951530E+02
  1.996642E-03     2.972463E+02
  2.024447E-03     2.993551E+02
  2.052638E-03     3.014795E+02
  2.081222E-03     3.036195E+02
  2.110203E-03     3.057754E+02
  2.139589E-03     3.079471E+02
  2.169384E-03     3.101349E+02
  2.199593E-03     3.123388E+02
  2.230223E-03     3.145591E+02
  2.261280E-03     3.167960E+02
  2.292769E-03     3.190495E+02
  2.324697E-03     3.213200E+02
  2.357069E-03     3.236075E+02
  2.389893E-03     3.259122E+02
  2.423173E-03     3.282341E+02
  2.456916E-03     3.305735E+02
  2.491130E-03     3.329303E+02
  2.525820E-03     3.353048E+02
  2.560993E-03     3.376970E+02
  2.596656E-03     3.401072E+02
  2.632815E-03     3.425354E+02
  2.669478E-03     3.449820E+02
  2.706652E-03     3.474470E+02
  2.744343E-03     3.499305E+02
  2.782559E-03     3.524327E+02
  2.821308E-03     3.549538E+02
  2.860596E-03     3.574937E+02
  2.900430E-03     3.600528E+02
  2.940820E-03     3.626311E+02
  2.981772E-03     3.652289E+02
  3.023295E-03     3.678463E+02
  3.065395E-03     3.704836E+02
  3.108082E-03     3.731409E+02
  3.151363E-03     3.758184E+02
  3.195248E-03     3.785162E+02
  3.239743E-03     3.812345E+02
  3.284857E-03     3.839733E+02
  3.330600E-03     3.867329E+02
  3.376980E-03     3.895135E+02
