FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 09/08/2022 23:42:19
PROJECTILE       : Sm
TARGET           : La
TARGET AT. MASS  : 1.389055E+02
TARGET DENSITY   : 6.150000E+00 g/cm^3
TABULATED OUTPUT : STOPPING FORCE VERSUS ENERGY
DATA TYPE        : SPLINE INTERPOLATED
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : eV/nm


      E/n             S(E/n)

  1.000000E-03     5.962449E+02
  1.013925E-03     6.003178E+02
  1.028045E-03     6.044446E+02
  1.042361E-03     6.086229E+02
  1.056876E-03     6.128504E+02
  1.071593E-03     6.171243E+02
  1.086516E-03     6.214414E+02
  1.101646E-03     6.257985E+02
  1.116987E-03     6.301920E+02
  1.132541E-03     6.346179E+02
  1.148312E-03     6.390719E+02
  1.164303E-03     6.435501E+02
  1.180517E-03     6.480522E+02
  1.196956E-03     6.525791E+02
  1.213624E-03     6.571318E+02
  1.230524E-03     6.617117E+02
  1.247660E-03     6.663199E+02
  1.265034E-03     6.709578E+02
  1.282650E-03     6.756271E+02
  1.300511E-03     6.803294E+02
  1.318621E-03     6.850665E+02
  1.336984E-03     6.898403E+02
  1.355602E-03     6.946513E+02
  1.374479E-03     6.994993E+02
  1.393619E-03     7.043844E+02
  1.413026E-03     7.093063E+02
  1.432703E-03     7.142650E+02
  1.452654E-03     7.192605E+02
  1.472883E-03     7.242924E+02
  1.493393E-03     7.293609E+02
  1.514189E-03     7.344656E+02
  1.535275E-03     7.396065E+02
  1.556654E-03     7.447837E+02
  1.578331E-03     7.499975E+02
  1.600310E-03     7.552481E+02
  1.622595E-03     7.605360E+02
  1.645191E-03     7.658614E+02
  1.668101E-03     7.712249E+02
  1.691330E-03     7.766267E+02
  1.714882E-03     7.820675E+02
  1.738762E-03     7.875478E+02
  1.762975E-03     7.930681E+02
  1.787526E-03     7.986287E+02
  1.812418E-03     8.042300E+02
  1.837656E-03     8.098720E+02
  1.863246E-03     8.155549E+02
  1.889193E-03     8.212791E+02
  1.915501E-03     8.270449E+02
  1.942175E-03     8.328524E+02
  1.969220E-03     8.387020E+02
  1.996642E-03     8.445942E+02
  2.024447E-03     8.505292E+02
  2.052638E-03     8.565074E+02
  2.081222E-03     8.625292E+02
  2.110203E-03     8.685946E+02
  2.139589E-03     8.747042E+02
  2.169384E-03     8.808582E+02
