FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 09/08/2022 23:59:11
PROJECTILE       : Ho
TARGET           : Li
TARGET AT. MASS  : 6.941000E+00
TARGET DENSITY   : 5.340000E-01 g/cm^3
TABULATED OUTPUT : STOPPING FORCE VERSUS ENERGY
DATA TYPE        : SPLINE INTERPOLATED
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : eV/nm


      E/n             S(E/n)

  1.000000E-03     1.649200E+02
  1.013925E-03     1.660688E+02
  1.028045E-03     1.672328E+02
  1.042361E-03     1.684114E+02
  1.056876E-03     1.696041E+02
  1.071593E-03     1.708100E+02
  1.086516E-03     1.720284E+02
  1.101646E-03     1.732584E+02
  1.116987E-03     1.744990E+02
  1.132541E-03     1.757493E+02
  1.148312E-03     1.770080E+02
  1.164303E-03     1.782741E+02
  1.180517E-03     1.795476E+02
  1.196956E-03     1.808288E+02
  1.213624E-03     1.821178E+02
  1.230524E-03     1.834150E+02
  1.247660E-03     1.847208E+02
  1.265034E-03     1.860355E+02
  1.282650E-03     1.873596E+02
  1.300511E-03     1.886935E+02
  1.318621E-03     1.900376E+02
  1.336984E-03     1.913926E+02
  1.355602E-03     1.927584E+02
  1.374479E-03     1.941351E+02
  1.393619E-03     1.955228E+02
  1.413026E-03     1.969214E+02
  1.432703E-03     1.983309E+02
  1.452654E-03     1.997513E+02
  1.472883E-03     2.011826E+02
  1.493393E-03     2.026248E+02
  1.514189E-03     2.040780E+02
  1.535275E-03     2.055420E+02
  1.556654E-03     2.070170E+02
  1.578331E-03     2.085031E+02
  1.600310E-03     2.100003E+02
  1.622595E-03     2.115088E+02
  1.645191E-03     2.130287E+02
  1.668101E-03     2.145600E+02
  1.691330E-03     2.161030E+02
  1.714882E-03     2.176577E+02
  1.738762E-03     2.192244E+02
  1.762975E-03     2.208032E+02
  1.787526E-03     2.223942E+02
  1.812418E-03     2.239974E+02
  1.837656E-03     2.256131E+02
  1.863246E-03     2.272412E+02
  1.889193E-03     2.288819E+02
  1.915501E-03     2.305353E+02
  1.942175E-03     2.322015E+02
  1.969220E-03     2.338806E+02
  1.996642E-03     2.355727E+02
  2.024447E-03     2.372780E+02
  2.052638E-03     2.389966E+02
  2.081222E-03     2.407286E+02
  2.110203E-03     2.424741E+02
  2.139589E-03     2.442332E+02
  2.169384E-03     2.460060E+02
  2.199593E-03     2.477926E+02
  2.230223E-03     2.495931E+02
  2.261280E-03     2.514078E+02
  2.292769E-03     2.532366E+02
  2.324697E-03     2.550798E+02
  2.357069E-03     2.569375E+02
  2.389893E-03     2.588099E+02
  2.423173E-03     2.606969E+02
  2.456916E-03     2.625988E+02
  2.491130E-03     2.645157E+02
  2.525820E-03     2.664476E+02
  2.560993E-03     2.683948E+02
  2.596656E-03     2.703574E+02
  2.632815E-03     2.723355E+02
  2.669478E-03     2.743294E+02
  2.706652E-03     2.763392E+02
  2.744343E-03     2.783649E+02
  2.782559E-03     2.804069E+02
  2.821308E-03     2.824650E+02
