FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 23:41:24
PROJECTILE       : W 
TARGET           : Cl
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     1.182949E+02
  1.149757E-03     1.268290E+02
  1.321941E-03     1.359856E+02
  1.519911E-03     1.458113E+02
  1.747528E-03     1.563586E+02
  2.009233E-03     1.676799E+02
  2.310130E-03     1.798339E+02
  2.656088E-03     1.928921E+02
  3.053856E-03     2.069097E+02
  3.511192E-03     2.219791E+02
  4.037017E-03     2.381774E+02
  4.641589E-03     2.555992E+02
  5.336699E-03     2.743445E+02
  6.135907E-03     2.945272E+02
  7.054802E-03     3.162718E+02
  8.111308E-03     3.397149E+02
  9.326033E-03     3.650081E+02
  1.072267E-02     3.923246E+02
  1.232847E-02     4.218520E+02
  1.417474E-02     4.537981E+02
  1.629751E-02     4.884008E+02
  1.873817E-02     5.259082E+02
  2.154435E-02     5.666283E+02
  2.477076E-02     6.108615E+02
  2.848036E-02     6.589561E+02
  3.274549E-02     7.112926E+02
  3.764936E-02     7.682700E+02
  4.328761E-02     8.303180E+02
  4.977024E-02     8.978824E+02
  5.722368E-02     9.714055E+02
  6.579332E-02     1.051316E+03
  7.564633E-02     1.137984E+03
  8.697490E-02     1.231695E+03
  1.000000E-01     1.332588E+03
  1.149757E-01     1.440716E+03
  1.321941E-01     1.556281E+03
  1.519911E-01     1.679834E+03
  1.747528E-01     1.811909E+03
  2.009233E-01     1.952432E+03
  2.310130E-01     2.100963E+03
  2.656088E-01     2.257364E+03
  3.053856E-01     2.422356E+03
  3.511192E-01     2.597447E+03
  4.037017E-01     2.783783E+03
  4.641589E-01     2.980731E+03
  5.336699E-01     3.185368E+03
  6.135907E-01     3.393190E+03
  7.054802E-01     3.599348E+03
  8.111308E-01     3.799757E+03
  9.326033E-01     3.991673E+03
  1.072267E+00     4.173416E+03
  1.232847E+00     4.344124E+03
  1.417474E+00     4.502998E+03
  1.629751E+00     4.649114E+03
  1.873817E+00     4.781220E+03
  2.154435E+00     4.897751E+03
  2.477076E+00     4.997032E+03
  2.848036E+00     5.077593E+03
  3.274549E+00     5.138394E+03
  3.764936E+00     5.178975E+03
  4.328761E+00     5.199408E+03
  4.977024E+00     5.200120E+03
  5.722368E+00     5.181760E+03
  6.579332E+00     5.145004E+03
  7.564633E+00     5.090368E+03
  8.697490E+00     5.018356E+03
  1.000000E+01     4.929360E+03
  1.149757E+01     4.823739E+03
  1.321941E+01     4.701887E+03
  1.519911E+01     4.564232E+03
  1.747528E+01     4.411554E+03
  2.009233E+01     4.244886E+03
  2.310130E+01     4.065355E+03
  2.656088E+01     3.874565E+03
  3.053856E+01     3.674523E+03
  3.511192E+01     3.467626E+03
  4.037017E+01     3.256141E+03
  4.641589E+01     3.042856E+03
  5.336699E+01     2.830384E+03
  6.135907E+01     2.621372E+03
  7.054802E+01     2.418307E+03
  8.111308E+01     2.223408E+03
  9.326033E+01     2.038543E+03
  1.072267E+02     1.865200E+03
  1.232847E+02     1.704415E+03
  1.417474E+02     1.556866E+03
  1.629751E+02     1.422761E+03
  1.873817E+02     1.301942E+03
  2.154435E+02     1.193982E+03
  2.477076E+02     1.098261E+03
  2.848036E+02     1.013977E+03
  3.274549E+02     9.402627E+02
  3.764936E+02     8.761895E+02
  4.328761E+02     8.208689E+02
  4.977024E+02     7.733970E+02
  5.722368E+02     7.329848E+02
  6.579332E+02     6.988737E+02
  7.564633E+02     6.703367E+02
  8.697490E+02     6.467756E+02
  1.000000E+03     6.273351E+02
