FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 20:39:04
PROJECTILE       : Mn
TARGET           : U 
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     1.588284E+02
  1.149757E-03     1.702902E+02
  1.321941E-03     1.825885E+02
  1.519911E-03     1.957861E+02
  1.747528E-03     2.099490E+02
  2.009233E-03     2.251494E+02
  2.310130E-03     2.414681E+02
  2.656088E-03     2.589905E+02
  3.053856E-03     2.778069E+02
  3.511192E-03     2.980209E+02
  4.037017E-03     3.197407E+02
  4.641589E-03     3.430848E+02
  5.336699E-03     3.681860E+02
  6.135907E-03     3.951837E+02
  7.054802E-03     4.242314E+02
  8.111308E-03     4.554977E+02
  9.326033E-03     4.891676E+02
  1.072267E-02     5.254563E+02
  1.232847E-02     5.645755E+02
  1.417474E-02     6.067337E+02
  1.629751E-02     6.521467E+02
  1.873817E-02     7.010351E+02
  2.154435E-02     7.536469E+02
  2.477076E-02     8.102430E+02
  2.848036E-02     8.711510E+02
  3.274549E-02     9.367185E+02
  3.764936E-02     1.007338E+03
  4.328761E-02     1.083443E+03
  4.977024E-02     1.165497E+03
  5.722368E-02     1.253996E+03
  6.579332E-02     1.349444E+03
  7.564633E-02     1.452333E+03
  8.697490E-02     1.563103E+03
  1.000000E-01     1.682086E+03
  1.149757E-01     1.809472E+03
  1.321941E-01     1.945292E+03
  1.519911E-01     2.089039E+03
  1.747528E-01     2.239783E+03
  2.009233E-01     2.396364E+03
  2.310130E-01     2.557253E+03
  2.656088E-01     2.720446E+03
  3.053856E-01     2.883606E+03
  3.511192E-01     3.044428E+03
  4.037017E-01     3.201092E+03
  4.641589E-01     3.352674E+03
  5.336699E-01     3.498601E+03
  6.135907E-01     3.637311E+03
  7.054802E-01     3.767087E+03
  8.111308E-01     3.886297E+03
  9.326033E-01     3.993284E+03
  1.072267E+00     4.086324E+03
  1.232847E+00     4.162239E+03
  1.417474E+00     4.222427E+03
  1.629751E+00     4.267459E+03
  1.873817E+00     4.295150E+03
  2.154435E+00     4.304385E+03
  2.477076E+00     4.294294E+03
  2.848036E+00     4.264542E+03
  3.274549E+00     4.215442E+03
  3.764936E+00     4.147761E+03
  4.328761E+00     4.062576E+03
  4.977024E+00     3.961060E+03
  5.722368E+00     3.844558E+03
  6.579332E+00     3.714463E+03
  7.564633E+00     3.572246E+03
  8.697490E+00     3.419581E+03
  1.000000E+01     3.258201E+03
  1.149757E+01     3.089901E+03
  1.321941E+01     2.916466E+03
  1.519911E+01     2.739809E+03
  1.747528E+01     2.561917E+03
  2.009233E+01     2.384757E+03
  2.310130E+01     2.210212E+03
  2.656088E+01     2.040165E+03
  3.053856E+01     1.876169E+03
  3.511192E+01     1.719715E+03
  4.037017E+01     1.571908E+03
  4.641589E+01     1.433653E+03
  5.336699E+01     1.305377E+03
  6.135907E+01     1.187385E+03
  7.054802E+01     1.079568E+03
  8.111308E+01     9.817131E+02
  9.326033E+01     8.933304E+02
  1.072267E+02     8.138943E+02
  1.232847E+02     7.427538E+02
  1.417474E+02     6.792511E+02
  1.629751E+02     6.227383E+02
  1.873817E+02     5.725735E+02
  2.154435E+02     5.281679E+02
  2.477076E+02     4.889814E+02
  2.848036E+02     4.545212E+02
  3.274549E+02     4.243402E+02
  3.764936E+02     3.980354E+02
  4.328761E+02     3.752411E+02
  4.977024E+02     3.556239E+02
  5.722368E+02     3.388747E+02
  6.579332E+02     3.246975E+02
  7.564633E+02     3.128032E+02
  8.697490E+02     3.029087E+02
  1.000000E+03     2.946713E+02
