FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 10/08/2022 01:13:15
PROJECTILE       : Rn
TARGET           : Sr
TARGET AT. MASS  : 8.762000E+01
TARGET DENSITY   : 2.540000E+00 g/cm^3
TABULATED OUTPUT : STOPPING FORCE VERSUS ENERGY
DATA TYPE        : SPLINE INTERPOLATED
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : eV/nm


      E/n             S(E/n)

  1.000000E-03     3.587628E+02
  1.013925E-03     3.612393E+02
  1.028045E-03     3.637485E+02
  1.042361E-03     3.662892E+02
  1.056876E-03     3.688600E+02
  1.071593E-03     3.714591E+02
  1.086516E-03     3.740848E+02
  1.101646E-03     3.767351E+02
  1.116987E-03     3.794079E+02
  1.132541E-03     3.821009E+02
  1.148312E-03     3.848116E+02
  1.164303E-03     3.875375E+02
  1.180517E-03     3.902787E+02
  1.196956E-03     3.930355E+02
  1.213624E-03     3.958088E+02
  1.230524E-03     3.985991E+02
  1.247660E-03     4.014072E+02
  1.265034E-03     4.042341E+02
  1.282650E-03     4.070805E+02
  1.300511E-03     4.099477E+02
  1.318621E-03     4.128365E+02
  1.336984E-03     4.157482E+02
  1.355602E-03     4.186831E+02
  1.374479E-03     4.216411E+02
  1.393619E-03     4.246222E+02
  1.413026E-03     4.276263E+02
  1.432703E-03     4.306536E+02
  1.452654E-03     4.337038E+02
  1.472883E-03     4.367770E+02
  1.493393E-03     4.398732E+02
  1.514189E-03     4.429923E+02
  1.535275E-03     4.461343E+02
  1.556654E-03     4.492992E+02
  1.578331E-03     4.524873E+02
  1.600310E-03     4.556987E+02
  1.622595E-03     4.589337E+02
  1.645191E-03     4.621925E+02
  1.668101E-03     4.654754E+02
  1.691330E-03     4.687826E+02
  1.714882E-03     4.721145E+02
  1.738762E-03     4.754713E+02
  1.762975E-03     4.788535E+02
  1.787526E-03     4.822613E+02
  1.812418E-03     4.856947E+02
  1.837656E-03     4.891539E+02
  1.863246E-03     4.926390E+02
  1.889193E-03     4.961502E+02
  1.915501E-03     4.996876E+02
  1.942175E-03     5.032514E+02
  1.969220E-03     5.068418E+02
  1.996642E-03     5.104590E+02
  2.024447E-03     5.141031E+02
  2.052638E-03     5.177745E+02
  2.081222E-03     5.214734E+02
  2.110203E-03     5.251999E+02
  2.139589E-03     5.289545E+02
  2.169384E-03     5.327373E+02
  2.199593E-03     5.365487E+02
  2.230223E-03     5.403891E+02
  2.261280E-03     5.442589E+02
  2.292769E-03     5.481584E+02
  2.324697E-03     5.520880E+02
  2.357069E-03     5.560482E+02
  2.389893E-03     5.600390E+02
  2.423173E-03     5.640606E+02
  2.456916E-03     5.681131E+02
  2.491130E-03     5.721966E+02
  2.525820E-03     5.763112E+02
  2.560993E-03     5.804573E+02
  2.596656E-03     5.846349E+02
  2.632815E-03     5.888442E+02
  2.669478E-03     5.930855E+02
  2.706652E-03     5.973589E+02
  2.744343E-03     6.016648E+02
  2.782559E-03     6.060034E+02
  2.821308E-03     6.103749E+02
  2.860596E-03     6.147797E+02
  2.900430E-03     6.192181E+02
  2.940820E-03     6.236905E+02
  2.981772E-03     6.281972E+02
  3.023295E-03     6.327387E+02
  3.065395E-03     6.373154E+02
  3.108082E-03     6.419277E+02
  3.151363E-03     6.465759E+02
  3.195248E-03     6.512602E+02
  3.239743E-03     6.559807E+02
  3.284857E-03     6.607379E+02
  3.330600E-03     6.655319E+02
  3.376980E-03     6.703631E+02
  3.424006E-03     6.752318E+02
  3.471687E-03     6.801384E+02
  3.520031E-03     6.850832E+02
  3.569049E-03     6.900666E+02
  3.618750E-03     6.950889E+02
  3.669142E-03     7.001503E+02
  3.720237E-03     7.052512E+02
  3.772042E-03     7.103917E+02
  3.824570E-03     7.155722E+02
  3.877828E-03     7.207932E+02
  3.931829E-03     7.260549E+02
  3.986581E-03     7.313577E+02
  4.042096E-03     7.367022E+02
  4.098384E-03     7.420887E+02
  4.155455E-03     7.475176E+02
  4.213322E-03     7.529890E+02
  4.271994E-03     7.585035E+02
  4.331483E-03     7.640612E+02
  4.391801E-03     7.696625E+02
  4.452959E-03     7.753080E+02
  4.514968E-03     7.809979E+02
  4.577841E-03     7.867327E+02
  4.641589E-03     7.925130E+02
  4.706225E-03     7.983392E+02
  4.771761E-03     8.042117E+02
  4.838210E-03     8.101308E+02
  4.905584E-03     8.160968E+02
  4.973896E-03     8.221102E+02
  5.043159E-03     8.281713E+02
  5.113388E-03     8.342806E+02
  5.184594E-03     8.404385E+02
  5.256791E-03     8.466456E+02
  5.329994E-03     8.529024E+02
  5.404216E-03     8.592095E+02
  5.479472E-03     8.655671E+02
  5.555776E-03     8.719757E+02
  5.633143E-03     8.784355E+02
  5.711586E-03     8.849470E+02
  5.791123E-03     8.915105E+02
  5.871766E-03     8.981264E+02
  5.953533E-03     9.047951E+02
  6.036439E-03     9.115172E+02
  6.120498E-03     9.182932E+02
  6.205729E-03     9.251236E+02
  6.292146E-03     9.320088E+02
  6.379767E-03     9.389492E+02
  6.468608E-03     9.459452E+02
  6.558686E-03     9.529973E+02
  6.650018E-03     9.601059E+02
  6.742622E-03     9.672716E+02
  6.836516E-03     9.744950E+02
  6.931717E-03     9.817765E+02
  7.028244E-03     9.891169E+02
  7.126115E-03     9.965168E+02
  7.225349E-03     1.003977E+03
  7.325965E-03     1.011497E+03
  7.427982E-03     1.019078E+03
  7.531420E-03     1.026720E+03
  7.636298E-03     1.034424E+03
  7.742637E-03     1.042191E+03
  7.850456E-03     1.050020E+03
  7.959777E-03     1.057912E+03
  8.070620E-03     1.065868E+03
  8.183007E-03     1.073889E+03
  8.296959E-03     1.081976E+03
  8.412497E-03     1.090127E+03
  8.529644E-03     1.098345E+03
  8.648423E-03     1.106629E+03
  8.768856E-03     1.114980E+03
  8.890966E-03     1.123399E+03
  9.014776E-03     1.131885E+03
  9.140311E-03     1.140441E+03
  9.267593E-03     1.149065E+03
  9.396648E-03     1.157760E+03
  9.527500E-03     1.166525E+03
  9.660175E-03     1.175361E+03
  9.794697E-03     1.184269E+03
  9.931092E-03     1.193248E+03
  1.006939E-02     1.202300E+03
  1.020961E-02     1.211426E+03
  1.035178E-02     1.220624E+03
  1.049593E-02     1.229897E+03
  1.064209E-02     1.239245E+03
  1.079029E-02     1.248669E+03
  1.094055E-02     1.258169E+03
  1.109290E-02     1.267746E+03
  1.124737E-02     1.277401E+03
  1.140400E-02     1.287133E+03
  1.156280E-02     1.296943E+03
  1.172382E-02     1.306833E+03
  1.188708E-02     1.316802E+03
  1.205261E-02     1.326851E+03
  1.222045E-02     1.336981E+03
  1.239062E-02     1.347193E+03
  1.256317E-02     1.357488E+03
  1.273811E-02     1.367866E+03
  1.291550E-02     1.378327E+03
  1.309535E-02     1.388871E+03
  1.327771E-02     1.399500E+03
  1.346261E-02     1.410214E+03
  1.365008E-02     1.421014E+03
  1.384016E-02     1.431900E+03
  1.403289E-02     1.442872E+03
  1.422830E-02     1.453932E+03
  1.442644E-02     1.465080E+03
  1.462733E-02     1.476317E+03
  1.483103E-02     1.487643E+03
  1.503755E-02     1.499059E+03
  1.524696E-02     1.510565E+03
  1.545928E-02     1.522162E+03
  1.567455E-02     1.533851E+03
  1.589283E-02     1.545631E+03
  1.611414E-02     1.557505E+03
  1.633854E-02     1.569473E+03
  1.656606E-02     1.581535E+03
  1.679675E-02     1.593692E+03
  1.703065E-02     1.605945E+03
  1.726781E-02     1.618294E+03
  1.750827E-02     1.630739E+03
  1.775208E-02     1.643281E+03
  1.799929E-02     1.655921E+03
  1.824993E-02     1.668659E+03
  1.850407E-02     1.681496E+03
  1.876175E-02     1.694433E+03
  1.902301E-02     1.707471E+03
  1.928792E-02     1.720609E+03
  1.955651E-02     1.733848E+03
  1.982884E-02     1.747190E+03
  2.010496E-02     1.760633E+03
  2.038493E-02     1.774180E+03
  2.066880E-02     1.787830E+03
  2.095662E-02     1.801583E+03
  2.124845E-02     1.815442E+03
  2.154435E-02     1.829406E+03
  2.184436E-02     1.843476E+03
  2.214855E-02     1.857652E+03
  2.245698E-02     1.871936E+03
  2.276970E-02     1.886327E+03
  2.308678E-02     1.900826E+03
  2.340827E-02     1.915433E+03
  2.373424E-02     1.930150E+03
  2.406475E-02     1.944976E+03
  2.439986E-02     1.959912E+03
  2.473964E-02     1.974959E+03
  2.508415E-02     1.990118E+03
  2.543346E-02     2.005390E+03
  2.578763E-02     2.020774E+03
  2.614673E-02     2.036271E+03
  2.651084E-02     2.051882E+03
  2.688001E-02     2.067607E+03
  2.725433E-02     2.083447E+03
  2.763385E-02     2.099402E+03
  2.801867E-02     2.115474E+03
  2.840884E-02     2.131663E+03
  2.880444E-02     2.147969E+03
  2.920556E-02     2.164394E+03
  2.961225E-02     2.180938E+03
  3.002462E-02     2.197601E+03
  3.044272E-02     2.214384E+03
  3.086665E-02     2.231288E+03
  3.129648E-02     2.248313E+03
  3.173230E-02     2.265460E+03
  3.217418E-02     2.282729E+03
  3.262222E-02     2.300122E+03
  3.307650E-02     2.317640E+03
  3.353710E-02     2.335283E+03
  3.400412E-02     2.353052E+03
  3.447764E-02     2.370946E+03
  3.495776E-02     2.388968E+03
  3.544456E-02     2.407117E+03
  3.593814E-02     2.425395E+03
  3.643859E-02     2.443801E+03
  3.694601E-02     2.462338E+03
  3.746050E-02     2.481006E+03
  3.798215E-02     2.499805E+03
  3.851107E-02     2.518738E+03
  3.904735E-02     2.537804E+03
  3.959110E-02     2.557004E+03
  4.014242E-02     2.576339E+03
  4.070142E-02     2.595808E+03
  4.126821E-02     2.615414E+03
  4.184289E-02     2.635157E+03
  4.242556E-02     2.655037E+03
  4.301636E-02     2.675057E+03
  4.361538E-02     2.695216E+03
  4.422274E-02     2.715517E+03
  4.483856E-02     2.735959E+03
  4.546295E-02     2.756543E+03
  4.609604E-02     2.777271E+03
  4.673795E-02     2.798143E+03
  4.738880E-02     2.819159E+03
  4.804870E-02     2.840322E+03
  4.871780E-02     2.861633E+03
  4.939622E-02     2.883092E+03
  5.008408E-02     2.904701E+03
  5.078152E-02     2.926462E+03
  5.148867E-02     2.948375E+03
  5.220568E-02     2.970440E+03
  5.293266E-02     2.992657E+03
  5.366977E-02     3.015029E+03
  5.441714E-02     3.037554E+03
  5.517492E-02     3.060234E+03
  5.594326E-02     3.083070E+03
  5.672229E-02     3.106063E+03
  5.751217E-02     3.129214E+03
  5.831305E-02     3.152524E+03
  5.912508E-02     3.175994E+03
  5.994843E-02     3.199623E+03
  6.078323E-02     3.223414E+03
  6.162966E-02     3.247366E+03
  6.248788E-02     3.271481E+03
  6.335805E-02     3.295760E+03
  6.424034E-02     3.320204E+03
  6.513491E-02     3.344814E+03
  6.604194E-02     3.369592E+03
  6.696160E-02     3.394540E+03
  6.789407E-02     3.419656E+03
  6.883952E-02     3.444944E+03
  6.979814E-02     3.470402E+03
  7.077011E-02     3.496033E+03
  7.175561E-02     3.521837E+03
  7.275484E-02     3.547815E+03
  7.376798E-02     3.573968E+03
  7.479523E-02     3.600298E+03
  7.583678E-02     3.626807E+03
  7.689284E-02     3.653495E+03
  7.796360E-02     3.680363E+03
  7.904928E-02     3.707413E+03
  8.015007E-02     3.734643E+03
  8.126619E-02     3.762056E+03
  8.239786E-02     3.789651E+03
  8.354528E-02     3.817430E+03
  8.470868E-02     3.845393E+03
  8.588829E-02     3.873543E+03
  8.708431E-02     3.901879E+03
  8.829700E-02     3.930403E+03
  8.952657E-02     3.959117E+03
  9.077327E-02     3.988020E+03
  9.203732E-02     4.017114E+03
  9.331898E-02     4.046400E+03
  9.461848E-02     4.075879E+03
  9.593608E-02     4.105553E+03
  9.727203E-02     4.135423E+03
  9.862658E-02     4.165491E+03
  1.000000E-01     4.195758E+03
  1.013925E-01     4.226228E+03
  1.028045E-01     4.256900E+03
  1.042361E-01     4.287777E+03
  1.056876E-01     4.318860E+03
  1.071593E-01     4.350150E+03
  1.086516E-01     4.381648E+03
  1.101646E-01     4.413357E+03
  1.116987E-01     4.445280E+03
  1.132541E-01     4.477417E+03
  1.148312E-01     4.509773E+03
  1.164303E-01     4.542348E+03
  1.180517E-01     4.575145E+03
  1.196956E-01     4.608161E+03
  1.213624E-01     4.641397E+03
  1.230524E-01     4.674852E+03
  1.247660E-01     4.708525E+03
  1.265034E-01     4.742416E+03
  1.282650E-01     4.776524E+03
  1.300511E-01     4.810850E+03
  1.318621E-01     4.845392E+03
  1.336984E-01     4.880150E+03
