FILE CREATED BY  : PROGRAM DPASS - VERSION 2.00
DATABASE VERSION : 21.06
DATE AND TIME    : 08/08/2022 19:24:00
PROJECTILE       : C 
TARGET           : Mn
TABULATED OUTPUT : STOPPING CROSS SECTION VERSUS ENERGY
DATA TYPE        : RAW (ORIGINAL MESH)
ABSCISSA UNITS   : MeV/u
ORDINATE UNITS   : 10^(-15) eV cm^2


      E/n             S(E/n)

  1.000000E-03     3.124253E+01
  1.149757E-03     3.351423E+01
  1.321941E-03     3.595243E+01
  1.519911E-03     3.856939E+01
  1.747528E-03     4.137879E+01
  2.009233E-03     4.439478E+01
  2.310130E-03     4.763249E+01
  2.656088E-03     5.110856E+01
  3.053856E-03     5.484053E+01
  3.511192E-03     5.884678E+01
  4.037017E-03     6.314765E+01
  4.641589E-03     6.776366E+01
  5.336699E-03     7.271671E+01
  6.135907E-03     7.803023E+01
  7.054802E-03     8.372781E+01
  8.111308E-03     8.983386E+01
  9.326033E-03     9.637290E+01
  1.072267E-02     1.033689E+02
  1.232847E-02     1.108456E+02
  1.417474E-02     1.188241E+02
  1.629751E-02     1.273230E+02
  1.873817E-02     1.363571E+02
  2.154435E-02     1.459353E+02
  2.477076E-02     1.560587E+02
  2.848036E-02     1.667185E+02
  3.274549E-02     1.778926E+02
  3.764936E-02     1.895431E+02
  4.328761E-02     2.016113E+02
  4.977024E-02     2.140131E+02
  5.722368E-02     2.266498E+02
  6.579332E-02     2.393823E+02
  7.564633E-02     2.520599E+02
  8.697490E-02     2.644809E+02
  1.000000E-01     2.764554E+02
  1.149757E-01     2.879001E+02
  1.321941E-01     2.987691E+02
  1.519911E-01     3.090157E+02
  1.747528E-01     3.185788E+02
  2.009233E-01     3.273790E+02
  2.310130E-01     3.353067E+02
  2.656088E-01     3.421980E+02
  3.053856E-01     3.478141E+02
  3.511192E-01     3.518508E+02
  4.037017E-01     3.540010E+02
  4.641589E-01     3.540294E+02
  5.336699E-01     3.518559E+02
  6.135907E-01     3.475111E+02
  7.054802E-01     3.411258E+02
  8.111308E-01     3.328906E+02
  9.326033E-01     3.230262E+02
  1.072267E+00     3.117581E+02
  1.232847E+00     2.992974E+02
  1.417474E+00     2.858443E+02
  1.629751E+00     2.715956E+02
  1.873817E+00     2.567378E+02
  2.154435E+00     2.414611E+02
  2.477076E+00     2.259498E+02
  2.848036E+00     2.103890E+02
  3.274549E+00     1.949601E+02
  3.764936E+00     1.798312E+02
  4.328761E+00     1.651599E+02
  4.977024E+00     1.510792E+02
  5.722368E+00     1.376914E+02
  6.579332E+00     1.250928E+02
  7.564633E+00     1.133343E+02
  8.697490E+00     1.024443E+02
  1.000000E+01     9.242920E+01
  1.149757E+01     8.327180E+01
  1.321941E+01     7.494176E+01
  1.519911E+01     6.739197E+01
  1.747528E+01     6.057158E+01
  2.009233E+01     5.442351E+01
  2.310130E+01     4.889065E+01
  2.656088E+01     4.391793E+01
  3.053856E+01     3.945267E+01
  3.511192E+01     3.544692E+01
  4.037017E+01     3.185629E+01
  4.641589E+01     2.864086E+01
  5.336699E+01     2.576486E+01
  6.135907E+01     2.319396E+01
  7.054802E+01     2.089949E+01
  8.111308E+01     1.885443E+01
  9.326033E+01     1.703387E+01
  1.072267E+02     1.541544E+01
  1.232847E+02     1.397890E+01
  1.417474E+02     1.270589E+01
  1.629751E+02     1.157980E+01
  1.873817E+02     1.058564E+01
  2.154435E+02     9.709925E+00
  2.477076E+02     8.940554E+00
  2.848036E+02     8.266682E+00
  3.274549E+02     7.678520E+00
  3.764936E+02     7.167426E+00
  4.328761E+02     6.725606E+00
  4.977024E+02     6.346080E+00
  5.722368E+02     6.022577E+00
  6.579332E+02     5.749357E+00
  7.564633E+02     5.521026E+00
  8.697490E+02     5.332634E+00
  1.000000E+03     5.177229E+00
