0.08129	3.716	A	Fon16		
0.08312	3.769	A			
0.08349	3.778	A			
0.08499	3.822	A			
0.08652	3.840	A			
0.08768	3.867	A			
0.08925	3.894	A			
0.09085	3.911	A			
0.09126	3.956	A			
0.09415	4.000	A			
0.09584	4.045	A			
0.09843	4.098	A			
0.1020	4.142	A			
0.1016	4.160	A			
0.1038	4.214	A			
0.1057	4.258	A			
0.1076	4.276	A			
0.1100	4.302	A			
0.1115	4.329	A			
0.1161	4.409	A			
0.1181	4.445	A			
0.1197	4.480	A			
0.1219	4.534	A			
0.1235	4.560	A			
0.1252	4.578	A			
0.1268	4.631	A			
0.1286	4.640	A			
0.1303	4.676	A			
0.1326	4.711	A			
0.1326	4.729	A			
0.1344	4.765	A			
0.1368	4.809	A			
0.1411	4.854	A			
0.1411	4.854	A			
0.1424	4.871	A			
0.1456	4.916	A			
0.1463	4.925	A			
0.1509	5.005	A			
0.1543	5.058	A			
0.1578	5.067	A			
0.1571	5.103	A			
0.1613	5.156	A			
0.1717	5.280	A			
0.1755	5.352	A			
0.1795	5.369	A			
0.1852	5.423	A			
0.1877	5.485	A			
0.1919	5.512	A			
0.1936	5.547	A			
0.1997	5.583	A			
0.2033	5.618	A			
0.2079	5.663	A			
0.2116	5.698	A			
0.2154	5.734	A			
0.2193	5.787	A			
0.2232	5.832	A			
0.2323	5.876	A			
0.2293	5.876	A			
0.2354	5.885	A			
0.2397	5.938	A			
0.2440	5.956	A			
0.2462	5.965	A			
0.2540	6.045	A			
0.2440	6.054	A			
0.2574	6.063	A			
0.2631	6.089	A			
0.2679	6.116	A			
0.2528	6.125	A			
0.2776	6.152	A			
0.2551	6.161	A			
0.2632	6.178	A			
0.2813	6.196	A			
0.2715	6.214	A			
0.2851	6.258	A			
0.2967	6.276	A			
0.2739	6.285	A			
0.2727	6.285	A			
0.3075	6.321	A			
0.2838	6.321	A			
0.2902	6.347	A			
0.3215	6.356	A			
0.2981	6.374	A			
0.3200	6.401	A			
0.3331	6.409	A			
0.3130	6.427	A			
0.3467	6.454	A			
0.3258	6.472	A			
0.3657	6.480	A			
0.3875	6.516	A			
0.3593	6.525	A			
0.3258	6.525	A			
0.3391	6.534	A			
0.3997	6.543	A			
0.4105	6.551	A			
0.3723	6.560	A			
0.3376	6.561	A			
0.4124	6.578	A			
0.3529	6.578	A			
0.3944	6.623	A			
0.4216	6.631	A			
0.3841	6.632	A			
0.3706	6.632	A			
0.4051	6.676	A			
0.3997	6.676	A			
0.3910	6.685	A			
0.4161	6.694	A			
0.3910	6.703	A			
0.4051	6.747	A			
0.08056	3.529	B	Fon16		
0.08201	3.591	B			
0.08386	3.653	B			
0.08574	3.671	B			
0.08767	3.733	B			
0.08964	3.760	B			
0.09125	3.787	B			
0.09248	3.831	B			
0.09414	3.885	B			
0.09583	3.920	B			
0.09799	3.956	B			
0.1006	3.991	B			
0.09886	3.991	B			
0.1020	4.027	B			
0.1029	4.071	B			
0.1043	4.098	B			
0.1076	4.133	B			
0.1100	4.222	B			
0.1125	4.240	B			
0.1155	4.276	B			
0.1181	4.347	B			
0.1235	4.373	B			
0.1192	4.382	B			
0.1235	4.436	B			
0.1240	4.471	B			
0.1263	4.507	B			
0.1308	4.560	B			
0.1350	4.658	B			
0.1380	4.711	B			
0.1399	4.791	B			
0.1430	4.800	B			
0.1476	4.854	B			
0.1515	4.907	B			
0.1543	4.978	B			
0.1450	5.014	B			
0.1649	5.085	B			
0.1536	5.094	B			
0.1671	5.129	B			
0.1628	5.236	B			
0.1671	5.289	B			
0.1679	5.343	B			
0.1724	5.387	B			
0.1755	5.423	B			
0.1795	5.458	B			
0.1979	5.476	B			
0.1811	5.503	B			
0.1868	5.538	B			
0.1868	5.610	B			
0.1910	5.627	B			
0.1927	5.663	B			
0.1971	5.681	B			
0.2024	5.725	B			
0.2006	5.770	B			
0.2070	5.814	B			
0.1980	5.814	B			
0.2116	5.859	B			
0.2015	5.859	B			
0.2173	5.912	B			
0.2242	5.947	B			
0.2272	5.992	B			
0.2323	6.036	B			
0.2386	6.054	B			
0.2282	6.090	B			
0.2376	6.116	B			
0.2484	6.134	B			
0.2418	6.161	B			
0.2540	6.196	B			
0.2418	6.214	B			
0.2484	6.223	B			
0.2574	6.250	B			
0.2667	6.294	B			
0.2608	6.294	B			
0.2739	6.321	B			
0.2813	6.347	B			
0.2620	6.374	B			
0.2691	6.383	B			
0.2851	6.392	B			
0.2776	6.401	B			
0.2915	6.436	B			
0.2691	6.454	B			
0.2838	6.463	B			
0.3021	6.472	B			
0.4160	6.489	B			
0.2928	6.508	B			
0.3075	6.525	B			
0.3172	6.543	B			
0.2994	6.570	B			
0.3089	6.587	B			
