energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
3.843, ,0.378290528688225,0.0333353772650492,X,L2M4,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
3.886, ,0.0363822997186,0.0027220573544715666,X,L1M2,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
3.905, ,0.02236713977792,0.0037241908767156992,X,L3N45,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
3.906, ,0.445571883025,0.038911957613242336,X,L2,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
3.921, ,0.39247340579069,0.06517301839106862,X,L3O1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
3.932, ,0.0588359085078,0.00441300718852762,X,L1M3,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
3.941, ,1.454008425,0.13181785254368147,X,L,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
3.941, ,1.454008425,0.13181785254368147,X,L,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
3.956, ,0.0151750829507316,0.000412427613534376,X,L3M1,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
3.98, ,0.5798388656338312,0.054048885927014886,X,L3N1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.019, ,0.000037709249448,0.000004919068748385231,X,L2N1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.085, ,0.018471772,0.002550415283047253,X,L1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.086, ,5.153530733172859,0.14606196577599082,X,KA2,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.086, ,0.020759819117772537,0.057092074049952896,X,KA2,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.086, ,0.00022084463333600507,0.000010014706430715341,X,KA2,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.086, ,5.742873282040598,0.17056533846681776,X,KA2,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.086, ,0.4150677460351935,0.015160225585053567,X,KA2,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.086, ,0.15329413908143752,0.005266154863208691,X,KA2,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.091, ,0.30241495182765343,0.010281321592703611,X,KA1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.091, ,10.16676017591805,0.2837512555891591,X,KA1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.091, ,0.04095446659651319,0.11262967497075875,X,KA1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.091, ,0.0004356769251055535,0.000019639574565027625,X,KA1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.091, ,11.329400832591435,0.33181544101953014,X,KA1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.091, ,0.8188355613241142,0.029633814012851988,X,KA1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.1, ,0.0050533956334125,0.00047423242710159535,X,L3N45,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
