energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
34.144, ,0.9755981954054774,0.10675056801191726,AU,KLX,83,124,Bi, ,0, ,9/2-,31.55, ,4,Y,995621014.4983776,1262277.03898368,EC+B+,100, ,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2022-05-11
34.616, ,0.0034478946034963262,0.0003894966213080216,AU,KLL,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
36.133, ,0.028933445241199483,0.0013760370359929739,AU,KXY,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
38.74, ,2.0499067953927415, ,AU,KLX,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
39.072, ,6.352689461382791, ,AU,K,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
41.485, ,0.0017687699315936153,0.00020087983797099966,AU,KLX,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
41.836, ,0.005443536,0.0006145728458954237,AU,K,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
41.995, ,0.0002018648484702294,0.000026384073983582166,AU,KLX,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
43.948, ,2.86000632266,0.3099064675348094,AU,K,83,124,Bi, ,0, ,9/2-,31.55, ,4,Y,995621014.4983776,1262277.03898368,EC+B+,100, ,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2022-05-11
44.148, ,0.0000022,0.0000003,AU,KLX,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
45.084, ,0.259573996576359, ,AU,KXY,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
48.332, ,0.00022687146491005828,0.000026017879481330107,AU,KXY,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
54.687, ,0.000574834187548558,0.00007466858867543862,AU,K,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
57.653, ,0.0000062,0.0000008,AU,K,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
59.103, ,1.7483838627338306,0.18965997843959873,AU,KLL,83,124,Bi, ,0, ,9/2-,31.55, ,4,Y,995621014.4983776,1262277.03898368,EC+B+,100, ,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2022-05-11
72.872, ,0.0003433075654255602,0.00004462710491655811,AU,KLL,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
76.677, ,0.0000037,0.0000005,AU,KLL,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
84.096, ,0.13602426452069202,0.015248648548468906,AU,KXY,83,124,Bi, ,0, ,9/2-,31.55, ,4,Y,995621014.4983776,1262277.03898368,EC+B+,100, ,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2022-05-11
104.327, ,0.0000296617736527684,0.000003942832468599695,AU,KXY,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
109.905, ,0.00000032,0.00000004,AU,KXY,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
1.821, ,49.664,4.828740622564024,CE,L,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.257, ,0.080052,0.007714165671023666,CE,K,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
5.402, ,23.28,3.1614578915430775,CE,M,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
6.149, ,4.1904,0.6301243051969985,CE,N+,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
6.149, ,4.1904,0.6301243051969985,CE,N,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
6.278, ,0.0123384,0.0018129078961712313,CE,O,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
6.654, ,17.2975,1.6104630545281067,CE,K,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
13.486999999999998, ,0.68688,0.04919297510824081,CE,L,62,89,Sm, ,0, ,5/2-,90, ,8,Y,2840123337.71328,252455407.796736,B-,100, ,76.6,5,63,88,Eu, ,BALRAJ SINGH,2022-05-11
19.43000000000001, ,0.0183443743,0.0002772701894544671,CE,K,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
19.738, ,0.14946,0.010576893494783806,CE,M,62,89,Sm, ,0, ,5/2-,90, ,8,Y,2840123337.71328,252455407.796736,B-,100, ,76.6,5,63,88,Eu, ,BALRAJ SINGH,2022-05-11
21.179, ,0.0399726,0.0028306350524219823,CE,N+,62,89,Sm, ,0, ,5/2-,90, ,8,Y,2840123337.71328,252455407.796736,B-,100, ,76.6,5,63,88,Eu, ,BALRAJ SINGH,2022-05-11
21.179, ,0.0341214,0.002414810510164307,CE,N,62,89,Sm, ,0, ,5/2-,90, ,8,Y,2840123337.71328,252455407.796736,B-,100, ,76.6,5,63,88,Eu, ,BALRAJ SINGH,2022-05-11
21.498, ,0.00533604,0.0003776232985396955,CE,O,62,89,Sm, ,0, ,5/2-,90, ,8,Y,2840123337.71328,252455407.796736,B-,100, ,76.6,5,63,88,Eu, ,BALRAJ SINGH,2022-05-11
