632.00	13.950	A
774.00	12.700	A
992.00	10.390	A
300.00	21.481	B
400.00	18.562	B
500.00	16.447	B
600.00	14.856	B
700.00	13.608	B
800.00	12.605	B
900.00	11.778	B
1000.0	11.086	B
1100.0	10.482	B
1200.0	9.9651	B
1300.0	9.5118	B
1400.0	9.1141	B
1500.0	8.7563	B
100.00	32.210	C
125.00	30.619	C
150.00	29.108	C
175.00	27.756	C
200.00	26.404	C
225.00	25.291	C
250.00	24.177	C
275.00	23.143	C
300.00	22.268	C
325.00	21.394	C
350.00	20.519	C
375.00	19.883	C
400.00	19.087	C
425.00	18.451	C
450.00	17.894	C
475.00	17.258	C
500.00	16.701	C
525.00	16.145	C
550.00	15.747	C
575.00	15.270	C
600.00	14.872	C
625.00	14.395	C
650.00	14.077	C
675.00	13.679	C
700.00	13.361	C
725.00	13.043	C
750.00	12.804	C
775.00	12.486	C
800.00	12.168	C
825.00	12.009	C
850.00	11.771	C
875.00	11.691	C
900.00	11.373	C
925.00	11.293	C
950.00	11.214	C
1000.0	11.055	C
4.0510	14.883	D
4.7360	16.871	D
5.8680	18.855	D
7.1150	19.919	D
8.2960	21.821	D
9.1580	21.920	D
10.049	23.987	D
11.549	25.558	D
3.1000	13.446	E
3.2350	13.245	E
3.5350	14.526	E
3.8540	15.344	E
4.3570	16.300	E
4.5040	16.472	E
4.9190	16.591	E
5.5830	18.530	E
6.4410	18.148	E
6.8370	19.202	E
7.5820	21.209	E
0.32700	4.3118	F
1.5430	10.829	F
3.1300	15.954	F
5.2200	20.750	F
8.1620	24.747	F
11.072	29.183	F
14.769	31.920	F
17.551	33.049	F
21.855	33.755	F
25.592	34.771	F
30.051	23.813	G
35.321	25.222	G
39.999	26.784	G
44.712	27.582	G
50.410	28.487	G
54.752	28.858	G
57.316	28.808	G
65.089	29.503	G
70.634	29.812	G
75.086	29.560	G
80.352	30.661	G
84.328	30.440	G
90.317	31.428	G
94.920	31.919	G
16.293	18.744	H
18.222	19.598	H
20.632	21.890	H
22.501	21.413	H
24.876	22.360	H
28.028	24.017	H
30.564	24.910	H
35.269	26.308	H
40.054	27.251	H
44.401	26.916	H
2250.0	6.8483	I
2500.0	6.3807	I
2750.0	5.9807	I
3000.0	5.6363	I
3250.0	5.3373	I
3500.0	5.0724	I
3750.0	4.8362	I
4000.0	4.6247	I
4250.0	4.4330	I
4500.0	4.2580	I
4750.0	4.0982	I
5000.0	3.9511	I
5250.0	3.8159	I
5500.0	3.6902	I
5750.0	3.5733	I
6000.0	3.4643	I
6500.0	3.2687	I
7000.0	3.0953	I
7500.0	2.9418	I
8000.0	2.8050	I
8500.0	2.6810	I
9000.0	2.5688	I
9500.0	2.4670	I
10000	2.3732	I
10500	2.2881	I
11000	2.2086	I
11500	2.1354	I
12000	2.0678	I
7000.0	2.9943	J
6500.0	3.2385	K
1091.0	10.490	L
1850.5	7.7400	L
1997.5	7.2600	L
55000	0.63770	M
65000	0.55810	M
73000	0.51110	M
6497.0	3.2330	N
200.00	26.020	O
300.00	21.728	O
400.00	18.717	O
500.00	16.491	O
600.00	14.885	O
700.00	13.604	O
800.00	12.598	O
900.00	11.744	O
1000.0	11.039	O
1200.0	9.8950	O
1400.0	9.0105	O
1600.0	8.3065	O
1800.0	7.7179	O
2000.0	7.2081	O
2200.0	6.7841	O
2400.0	6.4127	O
2600.0	6.0881	O
2800.0	5.7994	O
3000.0	5.5409	O
3250.0	5.2537	O
3500.0	4.9960	O
3750.0	4.7614	O
4000.0	4.5514	O
4500.0	4.1934	O
5000.0	3.8936	O
5500.0	3.6390	O
6000.0	3.4235	O
6500.0	3.2270	O
7000.0	3.0560	O
7500.0	2.9065	O
8000.0	2.7720	O
8500.0	2.6495	O
9000.0	2.5398	O
9500.0	2.4403	O
10000	2.3489	O
10500	2.2630	O
11000	2.1858	O
11500	2.1110	O
12000	2.0490	O
12500	1.9830	O
13000	1.9257	O
13500	1.8716	O
55000	0.63400	P
65000	0.55870	P
73000	0.51210	P
44.310	28.500	Q
44.340	28.660	Q
44.760	28.200	Q
44.790	28.430	Q
45.220	28.150	Q
45.280	28.420	Q
51.640	29.750	Q
51.650	29.000	Q
52.150	29.890	Q
52.170	29.090	Q
52.710	30.190	Q
58.980	30.600	Q
59.000	30.400	Q
59.540	30.740	Q
59.660	30.350	Q
59.690	30.580	Q
60.230	30.660	Q
66.150	30.560	Q
66.180	30.750	Q
66.790	30.590	Q
66.830	30.770	Q
67.540	30.620	Q
68.330	30.830	Q
69.190	30.650	Q
69.510	30.620	Q
69.530	30.720	Q
69.880	31.050	Q
70.540	31.080	Q
71.290	31.100	Q
72.160	30.840	Q
72.950	30.490	Q
77.230	30.870	Q
77.980	30.650	Q
78.010	30.910	Q
78.860	31.100	Q
79.350	31.860	Q
79.380	31.650	Q
89.070	31.350	Q
94.050	31.320	Q
103.97	30.870	Q
