66.00	6.107	A
85.00	5.857	A
96.00	5.701	A
154.0	4.501	A
200.0	3.835	A
300.0	2.839	A
400.0	2.281	A
500.0	1.925	A
600.0	1.680	A
700.0	1.475	A
800.0	1.352	A
36.91	6.070	B
46.16	6.765	B
55.26	6.522	B
56.98	6.419	B
66.97	6.692	B
75.14	6.634	B
81.73	6.167	B
91.10	5.997	B
90.07	5.849	B
94.31	5.620	B
114.4	5.535	B
118.4	5.106	B
140.8	4.865	B
200.3	3.985	B
243.6	3.326	B
294.2	2.919	B
389.4	2.384	B
392.4	2.310	B
492.8	1.986	B
579.9	1.695	B
4440	0.3350	C
7.185	3.521	D
10.32	3.892	D
10.62	4.218	D
13.17	4.391	D
13.69	4.359	D
16.38	4.624	D
18.35	4.659	D
19.16	4.855	D
19.14	5.086	D
22.48	5.006	D
23.01	5.368	D
24.68	5.111	D
27.38	5.865	D
31.61	5.750	D
37.05	6.138	D
44.17	6.288	D
45.03	6.125	D
48.43	6.315	D
57.13	6.043	D
59.42	5.826	D
63.30	6.578	D
63.38	6.188	D
67.94	5.843	D
76.21	5.783	D
77.86	5.698	D
246.5	3.027	E
311.1	2.270	F
518.5	1.910	F
778.7	1.365	F
1037	1.070	F
1555	0.7650	F
2074	0.6100	F
2591	0.5200	F
30.00	5.840	G
40.00	6.250	G
50.00	6.430	G
60.00	6.450	G
70.00	6.360	G
80.00	6.230	G
90.00	6.040	G
100.0	5.830	G
150.0	4.700	G
200.0	3.900	G
250.0	3.330	G
300.0	2.910	G
350.0	2.600	G
400.0	2.350	G
450.0	2.140	G
500.0	1.970	G
550.0	1.820	G
600.0	1.700	G
31.66	4.908	H
46.63	4.858	H
56.39	4.848	H
66.44	4.757	H
76.81	4.824	H
86.59	4.587	H
97.03	4.462	H
106.3	4.360	H
117.0	3.831	H
126.9	3.737	H
137.1	3.421	H
147.4	3.142	H
158.0	2.784	H
167.8	2.102	H
100.0	5.600	I
200.0	3.820	I
42.20	6.360	J
53.70	6.450	J
693.7	1.500	K
702.4	1.500	K
791.7	1.360	K
802.1	1.340	K
892.7	1.240	K
903.8	1.230	K
990.0	1.140	K
1002	1.120	K
1090	1.050	K
1104	1.040	K
1186	0.9900	K
1202	0.9800	K
1287	0.9400	K
1304	0.9100	K
1404	0.8600	K
1421	0.8500	K
1506	0.8100	K
1524	0.8000	K
1605	0.7700	K
1624	0.7500	K
1706	0.7300	K
1726	0.7300	K
1804	0.7000	K
1826	0.6900	K
1905	0.6600	K
1928	0.6600	K
2003	0.6400	K
2028	0.6400	K
2107	0.6100	K
2130	0.6000	K
5.685	3.024	L
5.840	3.093	L
7.119	3.329	L
7.470	3.379	L
7.646	3.407	L
7.817	3.550	L
8.462	3.586	L
9.041	3.642	L
9.423	3.691	L
9.614	3.722	L
9.794	3.995	L
10.36	3.841	L
10.98	3.898	L
10.98	3.892	L
11.39	3.932	L
11.39	3.921	L
11.59	3.959	L
11.59	3.936	L
11.82	4.060	L
12.26	4.093	L
12.56	4.197	L
12.91	4.139	L
13.24	4.259	L
13.26	4.232	L
13.35	4.168	L
13.56	4.209	L
13.70	4.297	L
13.72	4.269	L
14.17	4.320	L
14.18	4.300	L
14.40	4.405	L
14.86	4.351	L
14.87	4.332	L
15.12	4.465	L
15.32	4.348	L
15.55	4.395	L
15.55	4.393	L
15.61	4.495	L
16.09	4.508	L
16.27	4.589	L
16.82	4.529	L
17.02	4.637	L
17.52	4.603	L
17.53	4.658	L
18.03	4.673	L
18.78	4.675	L
19.52	4.696	L
5.531	2.981	M
5.688	3.001	M
5.843	3.041	M
6.166	3.143	M
6.501	3.181	M
6.669	3.185	M
7.124	3.313	M
7.477	3.337	M
7.652	3.354	M
7.821	3.463	M
8.466	3.577	M
9.046	3.622	M
9.428	3.660	M
9.617	3.688	M
10.35	3.860	M
10.97	3.912	M
11.38	3.950	M
11.59	3.985	M
12.26	4.085	M
12.92	4.127	M
13.36	4.140	M
13.72	4.272	M
14.18	4.301	M
14.86	4.341	M
15.32	4.389	M
1.955	1.761	N
1.978	1.761	N
2.823	2.285	N
2.883	2.278	N
2.942	2.299	N
3.658	2.614	N
3.796	2.634	N
3.866	2.622	N
4.398	2.848	N
4.627	2.866	N
4.779	2.867	N
4.791	2.967	N
4.854	2.876	N
5.032	3.010	N
5.194	3.035	N
5.355	3.060	N
5.601	3.075	N
5.713	3.176	N
5.764	3.072	N
5.844	3.074	N
5.971	3.214	N
6.143	3.240	N
6.317	3.254	N
6.577	3.270	N
6.654	3.339	N
6.750	3.252	N
6.835	3.256	N
6.923	3.378	N
7.105	3.395	N
7.287	3.407	N
7.560	3.405	N
7.598	3.494	N
7.825	3.459	N
7.881	3.522	N
8.071	3.533	N
8.263	3.529	N
8.547	3.514	N
8.547	3.633	N
8.826	3.456	N
8.842	3.654	N
9.038	3.669	N
9.235	3.670	N
9.530	3.649	N
