129.85	38.667	A	Al83	7%
181.02	40.138	A		
234.87	37.778	A		
283.49	35.314	A		
383.49	32.812	A		
475.88	29.087	A		
577.10	25.673	A		
680.92	24.946	A		
787.83	24.788	A		
869.71	22.417	A		
987.11	21.150	A		
1084.4	21.005	A		
1227.2	19.312	A		
1378.2	18.622	A		
1481.4	17.651	A		
1674.6	15.321	A		
1815.9	15.635	A		
1967.0	14.569	A		
2068.3	14.402	A		
2.6520	8.6423	B	Bl80	15%
4.1920	12.182	B		
5.6420	15.259	B		
7.2410	17.468	B		
7.6550	17.993	B		
8.0580	18.470	B		
8.8510	19.650	B		
9.6420	20.981	B		
11.365	22.909	B		
13.107	24.667	B		
14.808	25.915	B		
14.984	18.031	C	Kr82	11%
15.933	16.706	C		
19.917	20.934	C		
21.081	22.005	C		
24.746	23.122	C		
25.468	24.856	C		
29.380	28.328	C		
30.061	25.865	C		
34.963	28.978	C		
35.201	27.009	C		
36.771	27.038	C		
36.792	29.137	C		
39.093	31.740	C		
39.728	27.807	C		
39.996	29.029	C		
43.120	30.598	C		
44.301	30.032	C		
45.900	29.726	C		
49.111	30.331	C		
49.137	32.976	C		
50.089	28.712	C		
50.334	30.773	C		
53.406	33.600	C		
55.034	29.643	C		
55.050	31.281	C		
55.083	34.639	C		
55.095	35.856	C		
58.381	34.322	C		
60.178	34.523	C		
61.468	35.303	C		
63.625	36.266	C		
68.496	36.188	C		
72.475	36.724	C		
72.944	35.473	C		
73.096	34.679	C		
73.719	36.075	C		
78.197	38.467	C		
79.013	36.635	C		
83.341	36.799	C		
85.561	37.596	C		
86.408	38.997	C		
86.553	37.488	C		
88.616	38.702	C		
93.684	39.048	C		
97.897	37.195	C		
98.547	38.130	C		
99.234	39.570	C		
103.86	37.516	C		
108.95	37.148	C		
19.275	19.252	D	Kt83a	15%
28.442	22.110	D		
40.334	24.061	D		
49.742	25.781	D		
60.830	27.143	D		
72.994	28.244	D		
81.475	29.369	D		
91.756	30.108	D		
102.66	30.957	D		
112.69	31.621	D		
121.70	31.998	D		
131.96	32.586	D		
141.72	32.983	D		
152.06	33.181	D		
162.63	33.290	D		
183.26	33.144	D		
203.24	32.739	D		
225.39	31.955	D		
242.40	31.387	D		
262.60	30.734	D		
283.00	29.705	D		
301.99	29.218	D		
322.82	28.668	D		
343.00	27.892	D		
20.446	19.067	E	Kt83b	5%
41.074	23.262	E		
61.398	26.942	E		
82.650	29.524	E		
100.89	30.913	E		
122.43	32.026	E		
143.76	33.065	E		
163.14	33.395	E		
181.99	33.501	E		
203.51	32.777	E		
223.37	32.228	E		
242.16	31.158	E		
273.85	30.969	E		
282.58	29.401	E		
302.09	29.511	E		
331.85	28.392	E		
338.87	28.138	E		
300.00	33.559	F	Lu79	2.5%
400.00	30.190	F		
500.00	27.540	F		
600.00	25.480	F		
700.00	23.812	F		
800.00	22.438	F		
900.00	21.293	F		
1000.0	20.312	F		
1000.0	20.312	F		
1100.0	19.494	F		
1200.0	18.775	F		
1300.0	18.120	F		
1400.0	17.564	F		
1500.0	17.041	F		
33.184	24.194	G	Me80	6%
41.945	26.646	G		
61.376	29.632	G		
81.529	30.842	G		
100.42	32.636	G		
100.00	39.577	H	Sa81a  	4%
125.00	39.250	H		
150.00	38.596	H		
175.00	38.269	H		
200.00	37.615	H		
225.00	36.633	H		
250.00	35.979	H		
275.00	34.998	H		
300.00	34.344	H		
325.00	33.362	H		
350.00	32.512	H		
375.00	31.629	H		
400.00	30.779	H		
425.00	29.961	H		
450.00	29.143	H		
475.00	28.391	H		
500.00	27.639	H		
525.00	26.952	H		
550.00	26.297	H		
575.00	25.709	H		
600.00	25.153	H		
625.00	24.662	H		
650.00	24.172	H		
675.00	23.779	H		
700.00	23.387	H		
750.00	22.765	H		
800.00	22.242	H		
850.00	21.817	H		
900.00	21.358	H		
950.00	20.835	H		
1000.0	20.148	H		
80.000	33.000	I	Si84	3%
100.00	35.000	I		
200.00	35.300	I		
300.00	31.800	I		
300.00	31.200	I		
400.00	29.100	I		
400.00	28.600	I		
600.00	25.000	I		
800.00	22.600	I		
800.00	22.600	I		
1000.0	20.800	I		
2000.0	15.400	I		
3000.0	12.600	I		
4000.0	10.700	I		
6000.0	8.2000	I		
19.435	21.655	J	Th80	5%
31.827	26.422	J		
40.139	27.695	J		
51.178	29.755	J		
60.909	30.499	J		
71.453	32.510	J		
81.027	33.005	J		
91.037	34.594	J		
99.823	35.680	J		
111.72	36.431	J		
120.98	37.052	J		
131.72	38.129	J		
19.100	21.640	K	Th81   	5%
31.512	26.600	K		
39.963	27.679	K		
50.527	29.780	K		
60.047	30.597	K		
70.113	32.526	K		
79.451	33.066	K		
89.853	34.629	K		
98.029	35.609	K		
110.20	36.550	K		
120.42	37.100	K		
130.68	38.140	K		
98.125	41.000	L	Be80	4e%
122.74	42.821	L		
156.09	42.705	L		
198.24	41.008	L		
224.12	40.039	L		
