0.8000	16.57	A	Ab92C
1.040	19.10	A	
1.110	19.54	A	
1.160	19.87	A	
1.300	21.52	A	
1.330	21.41	A	
1.360	21.28	A	
1.390	21.64	A	
1.470	22.11	A	
1.480	21.92	A	
1.500	22.58	A	
1.520	22.59	A	
1.550	22.81	A	
1.630	23.07	A	
1.630	23.03	A	
1.680	23.80	A	
0.2106	7.283	B	Ay82
0.2776	9.195	B	
0.3445	11.16	B	
0.3380	11.45	B	
0.4176	13.12	B	
0.4299	13.31	B	
0.5162	14.35	B	
0.5097	14.69	B	
0.5218	15.18	B	
0.6638	16.56	B	
0.6698	16.85	B	
0.7187	18.03	B	
0.7122	18.37	B	
0.7432	18.57	B	
0.7434	18.23	B	
0.8179	18.52	B	
0.8119	18.18	B	
0.9665	19.51	B	
0.9600	19.80	B	
0.9781	20.54	B	
0.9590	21.07	B	
1.263	22.12	B	
1.263	22.95	B	
1.365	21.90	C	Ou95
1.221	25.50	C	
1.135	23.50	C	
1.750	22.60	D	Ala00c
2.310	23.70	D	
3.230	26.20	D	
0.4800	13.70	E	Kny06
0.5400	14.90	E	
0.6080	15.60	E	
0.08255	3.666	F	Mok66
0.1155	4.226	F	
0.1467	5.343	F	
0.1882	5.789	F	
0.1898	5.333	F	
0.1883	6.547	F	
0.2351	7.859	F	
0.2437	8.185	F	
0.2487	7.236	F	
0.2870	9.432	F	
0.3110	8.679	F	
0.3126	7.995	F	
0.3371	10.86	F	
0.3870	10.30	F	
0.4646	11.49	F	
0.5526	12.95	F	
0.5508	12.30	F	
0.6492	14.43	F	
0.7109	15.66	F	
0.7492	15.92	F	
0.7509	15.12	F	
0.7886	17.01	F	
0.8613	17.74	F	
0.8611	15.36	F	
0.8789	17.51	G	Brd67b
0.9673	17.26	G	
1.067	17.56	G	
1.166	18.65	G	
1.272	17.04	G	
1.382	16.78	G	
1.496	16.71	G	
1.577	16.12	G	
0.4630	13.90	H	TEC13
1.312	22.60	H	
0.01681	1.501	I	Kan19
0.02399	1.500	I	
0.02161	2.027	I	
0.03214	1.921	I	
0.04224	3.264	I	
0.04798	3.000	I	
0.05277	3.131	I	
0.06332	3.605	I	
0.03169	2.949	I	
0.07864	3.683	I	
0.07914	4.131	I	
0.09446	4.340	I	
0.1108	5.103	I	
0.1184	5.366	I	
0.1481	5.969	I	
0.1659	6.863	I	
0.1908	7.309	I	
0.2210	8.071	I	
0.2842	9.830	I	
0.02208	1.790	K	Kan19
0.2229	8.545	K	
0.2835	9.411	L	Str21
0.2491	8.001	L	
0.2195	7.766	L	
0.2170	7.638	L	
0.1872	6.081	L	
0.1814	5.812	L	
0.1469	4.910	L	
0.1161	4.491	L	
0.08890	3.400	L	
0.07874	2.752	L	
