,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds)
94,*,8.238902831647526e-07,236Bk,0.0,5.69,25.999999999999996
95,13990.0,9.823307222348974e-10,129Pd,1.0,5.69,0.031
96,-11996.7167,1.4627221334955763e-08,47Cr,0.0,5.69,0.4616
97,-18733.802,3.738560600299135e-08,30S,0.0,5.69,1.1798
98,-13344.0,3.6758181864273574e-08,97Cd,0.0,5.69,1.1599999999999997
99,-19738.0,1.4354703779755113e-09,48Fe,0.0,5.69,0.04529999999999999
100,-5553.036,6.369305650619818e-08,114I,0.0,5.69,2.01
101,1872.0266,7.605141075366948e-06,229Ra,1.0,5.69,240.0
102,-2629.8047,0.9034907597535934,49V,0.0,0.42,28512000.0
103,-9565.988,8.270590919461555e-07,156Yb,0.0,5.69,26.099999999999998
104,-361.6194,0.00296600501939311,72As,0.0,170.5,93600.0
106,*,7.288260197226658e-12,269Ds,0.0,5.69,0.00022999999999999998
107,6416.0,4.7532131721043423e-07,213Hg,0.0,5.69,15.0
108,-5274.7547,5.114457373184272e-05,205At,0.0,5.69,1613.9999999999998
111,*,3.168808781402895e-11,224Am,0.0,5.69,0.001
112,5518.5456,6.717874616574137e-08,111Ru,1.0,5.69,2.12
113,13949.0,1.267523512561158e-10,58Ca,0.0,5.69,0.004
114,-2046.4473,1.6636246102365196e-05,225Th,0.0,5.69,524.9999999999999
115,600.7694,0.009169609856262834,47Sc,1.0,142.6,289370.88
116,3997.6263,0.0015999315537303218,72Ga,1.0,51.8,50490.0
117,-8797.4201,2.832915050574188e-06,158Yb,0.0,5.69,89.4
118,4208.9819,0.00017244657388394555,78As,1.0,159.0,5442.0
119,32.746,0.09691991786447639,184Re,0.0,6.53,3058560.0
120,5906.901,1.8442467107764847e-06,91Rb,1.0,5.69,58.199999999999996
121,4300.0,9.506426344208684e-08,219Pb,0.0,5.69,2.9999999999999996
123,8111.8785,7.605141075366947e-08,53Sc,1.0,5.69,2.4
124,-6736.3283,3.32724922047304e-08,176Au,0.0,5.69,1.05
125,11186.0,5.13347022587269e-09,69Fe,1.0,5.69,0.162
127,-8257.9789,1.264354703779755e-08,193Po,0.0,5.69,0.39899999999999997
128,-4555.6174,3.4223134839151265e-06,104In,0.0,5.69,108.0
129,-13240.0,2.5603974953735387e-09,56Cu,0.0,5.69,0.08079999999999998
130,3418.5098,2.249854234796055e-07,100Zr,1.0,5.69,7.099999999999999
131,-2606.9398,6.635485588257662e-06,114Sb,0.0,5.69,209.4
132,-5109.801,3.358937308287068e-07,158Lu,0.0,5.69,10.599999999999998
133,-3661.8091,3.042056430146779e-06,249Fm,0.0,5.69,96.0
134,-3638.5336,0.0254072553045859,149Gd,0.0,4.69,801792.0
135,9101.727,6.8446269678302524e-09,56V,1.0,5.69,0.21599999999999997
136,*,9.823307222348975e-11,284Fl,0.0,5.69,0.0031
137,-10249.6721,3.431819910259335e-07,182Hg,0.0,5.69,10.829999999999998
138,-1481.1659,4.677161761350673e-06,180Re,0.0,438.0,147.6
140,-4592.74,0.00020647958019621263,207At,0.0,5758.0,6516.0
141,887.7139,3.168808781402895e-07,220Po,0.0,5.69,10.0
142,9509.0,2.8519279032626053e-09,92Se,0.0,5.69,0.09
143,15986.3855,1.330899688189216e-19,26O,0.0,5.69,4.2e-12
144,-1307.903,0.0018982432124115902,186Ir,0.0,345.0,59904.0
145,1421.8481,8.66986082591832e-05,213Bi,0.9791,5549.0,2736.0
146,10740.0,3.802570537683474e-09,139Sn,1.0,5.69,0.12
147,*,6.337617562805789e-10,201Ra,0.0,5.69,0.019999999999999997
148,-7363.7264,1.3632215377595254e-05,150Dy,0.0,5.69,430.2
149,*,2.6934874641924606e-11,217U,0.0,5.69,0.00085
150,8272.6693,2.5350470251223157e-09,96Kr,1.0,5.69,0.07999999999999999
151,-7812.1185,1.2358354247471289e-06,143Gd,0.0,5.69,38.99999999999999
152,-4429.1934,680.0,91Nb,0.0,5.69,21459168000.0
153,-7904.2328,6.686186528760108e-07,149Ho,0.0,5.69,21.1
154,6327.7027,9.506426344208684e-08,58Mn,1.0,5.69,2.9999999999999996
155,-4331.1951,1.1439399700864451e-06,160Lu,0.0,5.69,36.1
156,-11702.0,8.444875402438714e-09,178Hg,0.0,5.69,0.26649999999999996
157,13460.255,2.915304078890663e-09,33Mg,1.0,5.69,0.09199999999999998
158,-6183.0,4.4363322939640523e-08,268Hs,0.0,5.69,1.3999999999999997
159,-13011.0,6.65449844094608e-08,108Te,0.0,5.69,2.1
160,*,6.337617562805789e-10,227Am,0.0,5.69,0.019999999999999997
161,4065.0,7.288260197226658e-07,237Ac,0.0,5.69,23.0
162,5515.6774,0.001706137348847821,24Na,1.0,5.69,53841.6
163,20445.1411,6.337617562805789e-29,10Li,0.0,5.69,2e-21
164,15070.0,9.506426344208685e-11,76Fe,0.0,5.69,0.003
165,12225.9002,2.376606586052171e-09,110Nb,1.0,5.69,0.075
167,-17750.0,6.939691231272339e-10,47Fe,0.0,5.69,0.021899999999999996
168,12520.0,9.506426344208685e-10,90Ge,0.0,5.69,0.03
169,-6139.2324,0.0005532740132329454,192Hg,0.0,5.69,17460.0
170,23154.0,3.1688087814028947e-10,40Al,0.0,5.69,0.009999999999999998
171,7671.3532,6.527746089689964e-09,62Cr,1.0,5.69,0.206
172,5541.0,7.922021953507237e-09,199Re,0.0,5.69,0.24999999999999997
175,*,1.5844043907014474e-08,122Pr,0.0,5.69,0.49999999999999994
176,-10743.0,2.3354120718939333e-07,170Os,0.0,5.69,7.369999999999999
177,*,6.33761756280579e-07,234Bk,0.0,5.69,20.0
179,-6579.0,3.1688087814028947e-13,223Pu,0.0,5.69,9.999999999999999e-06
181,-9461.4321,9.782112708190737e-07,184Hg,0.0,5.69,30.87
182,-9426.4121,2.6586305675970288e-08,167Os,0.0,5.69,0.839
183,1282.2099,0.017741273100616017,132Cs,0.0187,206.0,559872.0
184,971.6815,36.9,150Eu,0.0,4.53,1164475440.0
185,9866.6724,1.7206631683017717e-08,91Br,1.0,5.69,0.5429999999999999
187,-2055.0,13.08,250Cf,0.0,5739.59,412773408.0
188,*,1.3308996881892159e-10,272Rg,0.0,5.69,0.0042
190,11542.0,2.978680254518721e-09,144I,1.0,5.69,0.09399999999999999
191,2712.9729,4.49970846959211e-06,215Pb,1.0,5.69,141.99999999999997
192,-3819.0,1.6160924785154762e-08,287Fl,0.0,5.69,0.5099999999999999
193,-616.099,17.7,145Pm,0.0,4.23,558569520.0
194,16870.0,2.2181661469820264e-10,61Sc,0.0,5.69,0.007
195,-3498.5554,5.2887418561614316e-11,215Ra,0.0,5.69,0.001669
196,-7824.7003,3.168808781402895e-07,177Pt,0.0,5.69,10.0
197,4585.9906,2.8519279032626053e-08,233Fr,1.0,5.69,0.8999999999999999
198,-6089.0,3.1688087814028947e-10,267Mt,0.0,5.69,0.009999999999999998
199,2281.3849,1.713058027226405e-05,79As,1.0,5.69,540.6
200,7465.5526,1.742844829771592e-07,87Se,1.0,5.69,5.499999999999999
201,1175.6285,30.04,137Cs,1.0,174.32,947990304.0
202,-6294.1172,1.7738991558293405e-05,197Bi,0.0,5.69,559.8
203,-9158.0,1.1090830734910131e-07,141Tb,0.0,5.69,3.4999999999999996
204,-9376.0984,3.0737445179608077e-07,202Rn,0.0,5.69,9.7
205,*,3.168808781402895e-08,239Es,0.0,5.69,0.9999999999999999
206,-6415.4515,1.04000304205643e-05,199Po,0.0,5.69,328.2
207,6899.1276,2.535047025122316e-08,113Ru,1.0,5.69,0.7999999999999999
209,2889.373,1.7301695946459806e-05,236Pa,1.0,5.69,546.0
210,-10030.0,4.4046442061500236e-07,93Rh,0.0,5.69,13.899999999999999
211,-2013.4,0.031293634496919916,71Ge,0.0,1.1,987551.9999999999
214,34.0458,0.006500000000000001,107Pd,1.0,9.3,205124.40000000002
215,4304.0,2.249854234796055e-07,173Ho,1.0,5.69,7.099999999999999
216,13490.0,1.901285268841737e-09,89Ge,0.0,5.69,0.06
217,-8520.5842,9.189545466068395e-09,195At,0.0,5.69,0.29
219,-11365.0,2.851927903262605e-07,77Sr,0.0,5.69,8.999999999999998
220,4452.0031,1.9583238269069892e-05,95Y,1.0,104.0,618.0
222,*,1.2675235125611579e-12,159Re,0.0,5.69,3.9999999999999996e-05
223,-6883.0,2.8836159910766342e-08,170Ir,0.0,5.69,0.9099999999999999
224,-8170.6205,3.9293228889395894e-07,191Bi,0.0,5.69,12.399999999999999
225,2001.5652,0.00010871549167237052,49Sc,1.0,69.0,3430.7999999999997
226,-10322.0,2.6713058027226403e-08,155Hf,0.0,5.69,0.843
227,6771.0748,2.715669125662281e-07,91Kr,1.0,5.69,8.57
228,8337.0,1.1249271173980277e-08,136Sn,1.0,5.69,0.355
229,-7864.4447,5.0764316678074375e-06,182Pt,0.0,5.69,160.2
230,-4853.0,1.267523512561158e-08,271Mt,0.0,5.69,0.39999999999999997
232,-3401.6603,0.044079397672826835,99Rh,0.0,208.0,1391040.0000000002
233,-318.2488,4.8672902882348466e-05,160Ho,0.0,5.69,1536.0
234,-4727.0905,4.911653611174487e-07,182Au,0.0,5.69,15.5
235,4295.0,6.33761756280579e-07,240Pa,0.0,5.69,20.0
237,-3757.0,2.053388090349076e-05,243Cf,0.0,5.69,648.0
238,-4176.0,3.2321849570309527e-09,284Cn,0.0,5.69,0.102
239,*,1.5844043907014474e-08,128Sm,0.0,5.69,0.49999999999999994
240,-3798.8793,1.59e+18,180W,0.0,5.69,5.0176584e+25
243,-2267.0,7.605141075366948e-06,272Sg,0.0,5.69,240.0
244,-2824.0194,5.970035744163054e-06,164Lu,0.0,5.69,188.4
245,-4910.2713,1.5780667731386417e-05,187Au,0.0,5.69,498.0
246,-13730.0,2.943823357923289e-07,98Cd,0.0,5.69,9.289999999999997
247,11946.1243,2.661799376378432e-09,132Cd,1.0,5.69,0.084
248,-10611.0,2.8519279032626053e-08,149Tm,0.0,5.69,0.8999999999999999
249,*,2.0597257079118815e-08,152Lu,0.0,5.69,0.6499999999999999
250,-1837.6,0.39534565366187546,159Dy,0.0,5.0,12476160.000000002
251,2501.2141,0.0004471822952315765,141La,1.0,49.0,14111.999999999998
252,3052.0,1.901285268841737e-06,254Bk,0.0,5.69,60.0
253,16200.0,4.436332293964053e-10,65V,0.0,5.69,0.014
254,258.7369,0.011718001368925394,96Tc,0.0,2.17,369792.0
255,-2811.7226,0.0005030800821355236,139Pr,0.0,500.8,15875.999999999998
257,12005.458,3.4856896595431844e-10,56Ca,1.0,5.69,0.011
258,-7861.9485,6.179177123735645e-06,188Hg,0.0,5.69,195.0
259,10505.3137,3.01036834233275e-09,59V,1.0,5.69,0.095
260,-8201.9627,1.6160924785154763e-07,165W,0.0,5.69,5.1
261,6280.0423,5.482039191827008e-08,141Xe,1.0,5.69,1.7299999999999998
262,-9098.0411,1.6129236697340733e-06,168W,0.0,5.69,50.89999999999999
263,-7712.4265,8.042436687200546e-05,49Cr,0.0,625.3,2537.9999999999995
264,8920.0,1.837909093213679e-09,114Mo,1.0,5.69,0.057999999999999996
266,-5785.7211,1.7586888736786066e-05,207Rn,0.0,5.69,555.0
267,*,3.168808781402895e-11,88Rh,0.0,5.69,0.001
268,3082.53,3.7170127005855954e-07,144Ba,1.0,5.69,11.729999999999999
269,5761.8901,1.356250158440439e-07,153Pr,1.0,5.69,4.279999999999999
270,-7263.5308,2.224503764544832e-07,199At,0.0,5.69,7.019999999999999
271,12978.3208,1.0330316627373438e-09,32Al,1.0,5.69,0.0326
272,-784.0,1.901285268841737e-06,260Fm,0.0,5.69,60.0
273,3773.0,1.5844043907014474e-07,235Ra,0.0,5.69,5.0
274,1337.1034,0.0036139630390143737,232Pa,1.0,33.0,114048.0
275,8752.8229,1.4069510989428853e-08,156Pr,1.0,5.69,0.44399999999999995
276,8253.0,4.658148908662255e-09,142Te,1.0,5.69,0.14699999999999996
277,-6986.5555,9.823307222348974e-07,165Ta,0.0,5.69,31.0
278,*,5.862296245595356e-10,50Ni,0.0,5.69,0.0185
279,-11004.0,1.8695971810277078e-06,116Xe,0.0,5.69,58.99999999999999
280,4120.0,3.5173777473572135e-06,176Tm,1.0,5.69,111.0
281,2492.0392,0.0002083998783177428,41Ar,1.0,294.1,6576.599999999999
282,2366.626,0.22931416837782342,46Sc,1.0,111.8,7236604.800000001
283,13807.0,4.753213172104343e-10,61Ti,1.0,5.69,0.015
284,-1599.0,4.563084645220169e-05,248Es,0.0,5.69,1440.0
285,-3949.6288,4.943341698988516e-06,190Tl,0.0,5.69,156.0
286,13496.1583,1.2168225720587117e-08,24F,1.0,5.69,0.384
287,-9207.0832,1.1724592491190711e-09,187Bi,0.0,5.69,0.037
288,-2725.3604,0.21984941820670773,73As,0.0,1.19,6937920.0
289,-1052.3734,0.005508555783709788,170Lu,0.0,428.0,173836.80000000002
290,-13988.1167,0.0009439881359799224,52Fe,0.0,340.0,29790.0
291,-6710.8496,2.6617993763784314e-06,175Os,0.0,5.69,83.99999999999999
292,23461.0,6.33761756280579e-11,58K,0.0,5.69,0.002
293,968.6148,0.3520876112251882,170Tm,0.99869,290.5,11111040.0
294,3170.0,5.703855806525211e-06,248Am,0.0,5.69,180.0
296,-13345.0,5.257053768347403e-09,61Ga,0.0,5.69,0.1659
297,1141.9038,0.0034029203741729407,193Os,1.0,73.9,107388.0
298,1210.2406,8.682536061043931e-07,220Fr,0.0034999999999999996,6303.0,27.399999999999995
299,-9801.0,1.267523512561158e-07,149Er,0.0,5.69,3.9999999999999996
300,9590.0,3.580753922985271e-09,153Ba,1.0,5.69,0.11299999999999999
301,10955.8885,2.4526579968058407e-09,24O,1.0,5.69,0.0774
302,-871.0,5.703855806525211e-06,260Lr,0.0,5.69,180.0
303,-1275.3724,0.0018480492813141682,76Br,0.0,146.0,58319.99999999999
304,-5388.0,6.971379319086368e-07,134Pm,0.0,5.69,21.999999999999996
305,12528.0,1.901285268841737e-09,128Ag,1.0,5.69,0.06
306,431.1764,0.2056125941136208,185W,1.0,97.1,6488639.999999999
307,-5430.0,1.505184171166375e-06,98Ag,0.0,5.69,47.49999999999999
308,9520.0,2.7885517276345475e-09,147Xe,1.0,5.69,0.088
309,6196.5938,3.2638730448449813e-08,115Rh,1.0,5.69,1.0299999999999998
310,*,6.33761756280579e-07,231Cm,0.0,5.69,20.0
311,13369.6698,2.5350470251223157e-09,25F,1.0,5.69,0.07999999999999999
312,1533.0836,9.772606281846527e-06,205Hg,1.0,5.69,308.4
314,5649.0,2.2181661469820262e-07,181Tm,0.0,5.69,6.999999999999999
315,9245.6277,7.700205338809035e-09,61Cr,1.0,5.69,0.243
316,-6257.8523,2.52870940755951e-06,167Ta,0.0,5.69,79.8
317,-2875.0,4.8165893477324e-08,260Db,0.0,5.69,1.52
318,17320.0,4.753213172104343e-10,64V,1.0,5.69,0.015
319,-11440.0,1.6160924785154764e-09,82Nb,0.0,5.69,0.051
320,-3859.3453,0.000474446725986767,109In,0.0,354.0,14972.4
323,11977.0,5.386974928384921e-09,140Sb,1.0,5.69,0.16999999999999998
324,-6600.6151,0.00026123659593885466,158Er,0.0,5.69,8244.0
325,4716.0,9.506426344208685e-07,183Yb,0.0,5.69,30.0
326,-2990.0,6.65449844094608e-08,261Rf,0.0,5.69,2.1
327,-6781.3511,3.9356605065023955e-06,99Ag,0.0,5.69,124.2
328,3038.2698,1.5844043907014473e-06,223At,1.0,5.69,49.99999999999999
329,-7840.0,8.872664587928105e-08,120La,0.0,5.69,2.7999999999999994
331,*,4.436332293964052e-09,282Nh,0.0,5.69,0.13999999999999999
332,-1102.0,0.00034223134839151266,261No,0.0,5.69,10800.0
333,2377.0,7.415012548482774e-05,246Am,1.0,64.0,2340.0
334,*,1.901285268841737e-09,287Mc,0.0,5.69,0.06
335,-2273.0239,0.23600273785078713,83Rb,0.0,1.5,7447680.0
336,18510.0,3.168808781402895e-11,61Ca,0.0,5.69,0.001
337,-6805.3428,2.2371789996704436e-06,94Rh,0.0,5.69,70.6
338,2276.0,7.605141075366948e-06,258Es,0.0,5.69,240.0
339,5220.5176,4.182827591451821e-07,77Ga,0.0,5.69,13.2
340,-7767.0,5.672167718711181e-07,139Eu,0.0,5.69,17.9
341,-3761.4779,3.357669784774508e-05,78Rb,0.0,5.69,1059.6000000000001
343,-5182.0,6.33761756280579e-09,263Bh,0.0,5.69,0.19999999999999998
344,-2812.7853,6.179177123735646e-14,217Ra,0.0,5.69,1.95e-06
345,*,1.0773949856769844e-12,186Po,0.0,5.69,3.4e-05
346,3896.0,4.4363322939640525e-07,187Hf,0.0,5.69,13.999999999999998
347,8975.3282,5.17783354881233e-07,88Br,1.0,5.69,16.339999999999996
348,573.3763,4.068750475321318e-06,211Bi,0.0027600000000000003,6278.2,128.4
349,-945.7825,8.35297994777803e-10,220Ac,0.0,5.69,0.026359999999999998
350,-1827.0,0.008213552361396304,253Fm,0.0,6486.0,259200.0
351,-7457.3187,0.22833675564681727,88Zr,0.0,1.91,7205760.000000001
352,-9864.2673,6.084112860293558e-07,172Os,0.0,5.69,19.2
353,*,1.109083073491013e-28,8C,0.0,5.69,3.4999999999999996e-21
354,156.4765,5700.0,14C,1.0,49.47,179878320000.0
355,6161.8335,1.0425380890815523e-06,85Se,1.0,5.69,32.89999999999999
356,-4246.0969,1.964661444469795e-09,225U,0.0,5.69,0.062
357,7633.4147,1.746013638552995e-06,86Br,1.0,5.69,55.099999999999994
358,-9694.4567,6.559434177503992e-07,178Pt,0.0,5.69,20.699999999999996
359,-8764.963,2.7568636398205184e-09,214Th,0.0,5.69,0.087
360,-3601.0,2.915304078890663e-07,265Sg,0.0,5.69,9.199999999999998
361,3687.3192,1.2472431363601794e-05,29Al,1.0,5.69,393.59999999999997
362,*,6.33761756280579e-09,118La,0.0,5.69,0.19999999999999998
363,5554.6233,5.5771034552690945e-08,151Ce,1.0,5.69,1.7599999999999998
364,-11134.3536,9.443050168580626e-09,32Cl,0.0,5.69,0.298
365,-3254.538,0.6678713210130047,65Zn,0.0,142.55,21076415.999999996
366,-7540.0,1.901285268841737e-06,103In,0.0,5.69,60.0
367,*,1.6953126980505488e-08,183Pb,0.0,5.69,0.5349999999999999
368,*,1.2041473369331e-08,245Md,0.0,5.69,0.38
369,-2204.4611,1.654118183892311e-05,130La,0.0,5.69,521.9999999999999
370,-14783.0,2.018531193753644e-06,64Ge,0.0,5.69,63.699999999999996
371,7755.7081,1.80622100539965e-08,129In,1.0,5.69,0.57
372,-1880.3393,2.6744746115040432e-08,224Pa,0.0,5.69,0.844
373,-220.063,0.002144,237Np,0.0,4386.0,67659.4944
374,*,2.8519279032626055e-11,263Hs,0.0,5.69,0.0009
376,-3647.4137,0.0016427104722792608,185Ir,0.0,6.88,51840.0
377,3543.0,5.323598752756863e-05,241Pa,0.0,5.69,1679.9999999999998
378,18080.0,3.802570537683474e-10,72Mn,0.0,5.69,0.012
379,12028.0,3.263873044844982e-09,87Ge,1.0,5.69,0.103
380,-11197.0,3.485689659543185e-08,135Gd,0.0,5.69,1.1
381,-3061.0,4.563084645220168e-06,238Bk,0.0,5.69,143.99999999999997
382,213.0,0.14124572210814512,258Md,1.5e-05,5.69,4457376.000000001
383,12128.0,1.4798337009151519e-09,67Mn,1.0,5.69,0.0467
384,696.3688,0.8544312114989734,54Mn,9.3e-07,0.54,26963798.400000002
385,3088.728,1.2580170862169493e-06,132Sn,1.0,5.69,39.699999999999996
386,5730.5011,7.25657210941263e-08,101Zr,1.0,5.69,2.29
387,-4064.4665,5.7418815119020456e-05,161Tm,0.0,5.69,1812.0
389,-2704.5927,0.017,205Pb,0.0,5.69,536479.2000000001
390,2242.8547,9.728242958906886e-07,98Zr,1.0,5.69,30.699999999999992
391,-1574.8729,6.971379319086369e-13,217Fr,0.0,5.69,2.2e-05
392,43.5841,0.0156,247Cm,0.0,4820.0,492298.56
393,940.0,0.07611225188227241,260Md,0.035,5.69,2401920.0
394,4591.3681,9.062793114812278e-08,98Nb,1.0,181.0,2.8599999999999994
395,3575.4729,0.00026180698151950717,132I,1.0,242.0,8262.0
396,16004.1329,2.657679924962608e-08,8Li,1.0,5.69,0.8387
397,-883.5727,3.961010976753619e-15,213At,0.0,5.69,1.25e-07
398,2822.8058,5.2714,60Co,1.0,95.77,166352732.64
399,11980.5117,2.8139021978857705e-09,64Mn,1.0,5.69,0.08879999999999999
400,1268.4219,0.0001123089208304814,128Sn,1.0,139.0,3544.2
401,16026.0,9.506426344208685e-10,51Ar,0.0,5.69,0.03
402,-11924.0,9.189545466068395e-10,90Rh,0.0,5.69,0.028999999999999998
403,-3843.0,1.5844043907014474e-08,274Hs,0.0,5.69,0.49999999999999994
404,-4658.2621,0.0017900000000000001,150Gd,0.0,5.69,56488.10400000001
405,*,6.274241387177732e-10,55Zn,0.0,5.69,0.019799999999999998
406,*,1.901285268841737e-10,211Pa,0.0,5.69,0.006
407,4108.9014,6.014399067102694e-07,79Ge,1.0,5.69,18.979999999999997
408,-5888.3439,1.1946409105888913e-08,196At,0.0,5.69,0.377
409,32740.0,2.4082946738662e-29,21B,0.0,5.69,7.5999999999999995e-22
411,11660.0,4.106776180698151e-09,120Rh,1.0,5.69,0.1296
412,-6663.6646,2.3449184982381423e-07,108Sb,0.0,5.69,7.3999999999999995
