1n
1h
2h
3h
3he
3li
4h
4he
4li
5h
5he
5li
5be
6h
6he
6li
6li
6be
6b
7h
7he
7li
7li
7be
7be
7b
8he
8li
8li
8be
8be
8be
8b
8b
8c
9he
9li
9be
9be
9b
9b
9c
10he
10li
10li
10li
10be
10be
10b
10b
10c
10n
11li
11be
11be
11b
11b
11b
11c
11c
11n
11n
11o
12li
12be
12be
12b
12b
12c
12c
12c
12n
12n
12o
13li
13be
13be
13b
13c
13c
13n
13n
13o
13f
14be
14be
14b
14b
14c
14c
14n
14n
14o
14f
15be
15b
15c
15n
15n
15o
15o
15f
15ne
16be
16b
16c
16n
16n
16n
16o
16o
16o
16o
16f
16ne
17b
17c
17n
17o
17o
17f
17f
17ne
17na
18b
18c
18n
18o
18o
18f
18f
18f
18ne
18na
19b
19c
19n
19o
19f
19f
19ne
19ne
19na
19mg
20b
20c
20n
20o
20f
20f
20ne
20ne
20ne
20na
20na
20mg
21b
21c
21n
21o
21f
21ne
21ne
21na
21na
21mg
21al
22c
22n
22o
22f
22ne
22ne
22na
22na
22na
22mg
22mg
22al
22si
23c
23n
23o
23f
23ne
23na
23na
23na
23mg
23mg
23al
23al
23si
24n
24o
24f
24ne
24na
24na
24na
24mg
24mg
24mg
24al
24al
24al
24si
24p
25n
25o
25f
25ne
25na
25mg
25mg
25al
25al
25si
25p
26o
26f
26f
26ne
26na
26na
26mg
26al
26al
26si
26si
26p
26p
26s
27o
27f
27ne
27na
27mg
27al
27al
27si
27si
27p
27p
27s
28o
28f
28ne
28na
28mg
28al
28al
28si
28si
28si
28si
28p
28p
28s
28cl
29f
29ne
29na
29mg
29al
29si
29si
29p
29p
29s
29cl
29ar
30f
30ne
30na
30mg
30al
30si
30p
30p
30s
30cl
30ar
31f
31ne
31na
31mg
31al
31si
31p
31p
31s
31s
31cl
31cl
31ar
31k
32ne
32na
32mg
32al
32al
32si
32p
32p
32s
32s
32s
32cl
32cl
32ar
32k
32k
33ne
33na
33mg
33al
33si
33p
33s
33s
33cl
33cl
33ar
33k
33ca
34ne
34na
34mg
34al
34al
34si
34si
34p
34s
34cl
34cl
34ar
34ar
34k
34ca
35na
35mg
35al
35si
35p
35s
35s
35cl
35cl
35ar
35ar
35k
35k
35ca
35sc
36na
36mg
36al
36si
36p
36s
36cl
36cl
36ar
36ar
36ar
36k
36k
36ca
36sc
37na
37mg
37al
37si
37p
37s
37cl
37cl
37ar
37ar
37k
37k
37ca
37sc
37ti
38na
38mg
38al
38si
38p
38s
38cl
38cl
38cl
38ar
38ar
38ar
38k
38k
38k
38ca
38sc
38sc
38ti
39na
39mg
39al
39si
39p
39s
39cl
39ar
39ar
39k
39k
39ca
39ca
39sc
39sc
39ti
39v
40mg
40al
40si
40p
40s
40cl
40ar
40k
40k
40k
40ca
40ca
40ca
40sc
40sc
40ti
40v
41mg
41al
41si
41p
41s
41cl
41ar
41k
41k
41ca
41ca
41sc
41sc
41sc
41ti
41v
41cr
42al
42si
42p
42s
42cl
42ar
42k
42k
42ca
42ca
42sc
42sc
42sc
42ti
42v
42cr
43al
43si
43p
43s
43s
43cl
43ar
43k
43k
43ca
43ca
43sc
43sc
43sc
43sc
43ti
43ti
43ti
43ti
43v
43v
43cr
43mn
44si
44p
44s
44s
44cl
44ar
44k
44ca
44ca
44sc
44sc
44sc
44sc
44sc
44ti
44ti
44ti
44v
44v
44v
44v
44cr
44mn
45si
45p
45s
45cl
45ar
45k
45ca
45sc
45sc
45sc
45ti
45ti
45ti
45v
45v
45v
45cr
45cr
45mn
45fe
46p
46s
46cl
46ar
46k
46ca
46sc
46sc
46sc
46sc
46ti
46ti
46ti
46v
46v
46cr
46cr
46mn
46mn
46mn
46fe
47p
47s
47cl
47ar
47k
47ca
47sc
47sc
47ti
47ti
47v
47v
47cr
47cr
47mn
47mn
47fe
47fe
47co
48s
48cl
48ar
48k
48ca
48sc
48ti
48ti
48v
48v
48cr
48cr
48cr
48mn
48mn
48fe
48co
48ni
49s
49cl
49ar
49k
49ca
49sc
49ti
49v
49v
49cr
49cr
49mn
49mn
49fe
49co
49ni
50cl
50ar
50k
50k
50ca
50sc
50sc
50ti
50v
50v
50cr
50cr
50cr
50mn
50mn
50fe
50fe
50co
50co
50ni
51cl
51ar
51k
51ca
51sc
51ti
51v
51cr
51cr
51mn
51mn
51fe
51co
51co
51ni
52cl
52ar
52k
52ca
52sc
52ti
52v
52cr
52cr
52mn
52mn
52mn
52fe
52fe
52fe
52fe
52co
52co
52co
52ni
52cu
53ar
53k
53ca
53sc
53ti
53v
53cr
53mn
53mn
53fe
53fe
53fe
53co
53co
53co
53ni
53cu
54ar
54k
54ca
54sc
54sc
54ti
54v
54v
54cr
54mn
54mn
54fe
54fe
54fe
54co
54co
54ni
54ni
54cu
54zn
55k
55ca
55sc
55ti
55v
55cr
55mn
55fe
55fe
55co
55co
55ni
55ni
55cu
55zn
56k
56ca
56sc
56sc
56sc
56ti
56v
56cr
56mn
56fe
56fe
56co
56co
56ni
56ni
56ni
56ni
56cu
56cu
56zn
56zn
56ga
57k
57ca
57sc
57ti
57v
57cr
57mn
57fe
57co
57co
57ni
57ni
57cu
57cu
57zn
57ga
58k
58ca
58sc
58sc
58ti
58v
58cr
58mn
58mn
58fe
58co
58co
58co
58co
58ni
58ni
58ni
58cu
58cu
58zn
58ga
58ga
58ge
59k
59ca
59sc
59ti
59ti
59v
59cr
59cr
59mn
59fe
59co
59ni
59ni
59cu
59cu
59zn
59ga
59ge
60ca
60sc
60ti
60v
60v
60v
60cr
60mn
60mn
60fe
60co
60co
60ni
60ni
60cu
60cu
60zn
60zn
60zn
60ga
60ga
60ge
60as
60as
61ca
61sc
61ti
61ti
61ti
61v
61cr
61mn
61fe
61fe
61co
61ni
61cu
61cu
61zn
61zn
61zn
61ga
61ga
61ga
61ge
61as
62sc
62ti
62v
62cr
62mn
62mn
62fe
62co
62co
62ni
62cu
62cu
62zn
62ga
62ga
62ge
62as
63sc
63ti
63v
